tiene_conyuge,tiene_hijos,tiene_ascendientes,tiene_otros_parientes,tiene_no_parientes,family,familyt,tipo_hog,tipo_hog2,vigencia_desde,vigencia_hasta,tipologia_hogar_capa,tipologia_hogar_regla_id,fuente,estado
0,0,0,0,0,1,1,1,1,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,0,0,0,2,3,3,3,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,0,0,0,3,5,3,3,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,1,0,0,4,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,0,1,0,5,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,0,0,1,6,2,2,1,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,0,0,0,7,4,3,3,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,1,0,0,8,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,0,1,0,9,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,0,0,1,10,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,1,0,0,11,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,0,1,0,12,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,0,0,1,13,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,1,1,0,14,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,1,0,1,15,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,0,1,1,16,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,1,0,0,17,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,0,1,0,18,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,0,0,1,19,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,1,1,0,20,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,1,0,1,21,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,0,1,1,22,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,1,1,0,23,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,1,0,1,24,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,0,1,1,25,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,0,1,1,1,26,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
0,1,1,1,1,27,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,0,1,1,1,28,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,0,1,1,29,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,1,0,1,30,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,1,1,0,31,6,6,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
1,1,1,1,1,32,7,7,6,2005-T1,,autor,HOGAR_TIPOLOGIA_RELA2_RELA6,regla_historica_procesar_vars_hogar,integrada
