sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
226,2263,1100, Arquitectos y urbanistas,auto,,,,,,,,
226,2261,1101, Ingenieros civiles y de la construcción,auto,,,,,,,,
225,2254,1102," Ingenieros en minas, metalurgia y petróleo",auto,,,,,,,,
226,2262,1103," Ingenieros en topografía, hidrología, geología y geodesia",auto,,,,,,,,
242,2421,1106, Ingenieros biomédicos,auto,,,,,,,,
299,2991,1109,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
221,2211,1110, Físicos y astrónomos,auto,,,,,,,,
221,2212,1111," Matemáticos, estadísticos y actuarios",auto,,,,,,,,
299,2991,1119,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
222,2222,1120, Químicos,auto,,,,,,,,
242,2428,1121, Farmacólogos,auto,,,,,,,,
299,2991,1129,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
242,2426,1131, Profesionistas en enfermería,auto,,,,,,,,
241,2413,1132, Odontólogos,auto,,,,,,,,
242,2422,1133, Profesionistas en optometría,auto,,,,,,,,
242,2423,1134, Profesionistas en nutrición,auto,,,,,,,,
242,2424,1139, Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
222,2221,1140, Biólogos,auto,,,,,,,,
222,2223,1141, Ecólogos y profesionistas en ciencias atmosféricas,auto,,,,,,,,
222,2221,1142, Profesionistas en ciencias del mar y oceanógrafos,auto,,,,,,,,
299,2991,1149,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
223,2231,1150, Agrónomos,auto,,,,,,,,
223,2232,1151, Veterinarios y zootecnistas,auto,,,,,,,,
223,2233,1152, Profesionistas en forestación,auto,,,,,,,,
223,2234,1153, Profesionistas en pesca y en acuacultura,auto,,,,,,,,
299,2991,1159,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
213,2135,1160, Abogados,auto,,,,,,,,
213,2133,1162, Profesionistas en ciencias políticas y administración pública,auto,,,,,,,,
213,2131,1163," Antropólogos, arqueólogos e historiadores",auto,,,,,,,,
214,2142,1164, Sicólogos (psicólogos),auto,,,,,,,,
214,2141,1165, Profesionistas en filosofía y letras,auto,,,,,,,,
231,2312,1166, Pedagogos,auto,,,,,,,,
211,2112,1167, Profesionistas en ciencias de la comunicación,auto,,,,,,,,
213,2134,1168, Geógrafos,auto,,,,,,,,
299,2991,1169,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
212,2123,1170, Economistas,auto,,,,,,,,
211,2111,1171, Administradores de empresas,auto,,,,,,,,
211,2112,1173, Profesionistas en mercadotecnia,auto,,,,,,,,
214,2144,1174," Profesionistas en archivo, biblioteconomía y museografía",auto,,,,,,,,
211,2113,1175, Profesionistas en hotelería y turismo,auto,,,,,,,,
299,2991,1179,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
214,2145,1180, Religiosos profesionistas,auto,,,,,,,,
299,2991,1190,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
262,2625,1200,Técnicos en dibujo,auto,,,,,,,,
262,2624,1201,Técnicos en ingeniería civil y de la construcción,auto,,,,,,,,
262,2623,1202,"Técnicos en ingeniería en minas, metalurgia y petróleo",auto,,,,,,,,
262,2622,1203,"Técnicos en ingeniería topográfica, hidrológica, geológica y geodésica",auto,,,,,,,,
299,2992,1209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
261,2611,1210, Técnicos en física,auto,,,,,,,,
261,2611,1211," Técnicos en matemáticas, estadística y actuaría",auto,,,,,,,,
