"cmo","sinco11","n_destinos"
1100,2263,1
1101,2261,1
1102,2254,1
1103,2262,1
1104,2251,1
1105,2241,3
1106,2421,1
1109,2991,1
1110,2211,1
1111,2212,1
1119,2991,1
1120,2222,1
1121,2428,1
1129,2991,1
1130,2411,3
1131,2426,1
1132,2413,1
1133,2422,1
1134,2423,1
1139,2424,1
1140,2221,1
1141,2223,1
1142,2221,1
1149,2991,1
1150,2231,1
1151,2232,1
1152,2233,1
1153,2234,1
1159,2991,1
1160,2135,1
1161,2132,2
1162,2133,1
1163,2131,1
1164,2142,1
1165,2141,1
1166,2312,1
1167,2112,1
1168,2134,1
1169,2991,1
1170,2123,1
1171,2111,1
1172,2121,1
1173,2112,1
1174,2144,1
1175,2113,1
1179,2991,1
1180,2145,1
1190,2991,1
1200,2625,1
1201,2624,1
1202,2623,1
1203,2622,1
1204,2621,6
1205,2641,3
1206,2653,1
1209,2992,1
1210,2611,1
1211,2611,1
1219,2992,1
1220,2811,4
1221,2815,2
1222,2812,1
1223,2816,1
1229,2992,1
1230,2612,3
1231,2814,1
1232,2612,1
1239,2992,1
1240,2613,1
1241,2614,1
1242,2614,1
1243,2614,1
1249,2614,1
1250,2531,3
1251,2512,1
1252,2511,1
1260,2533,1
1290,2992,1
1300,2321,1
1310,2322,1
1320,2331,1
1330,2332,1
1331,2333,1
1332,2334,1
1340,2335,1
1350,2343,1
1351,2343,1
1352,2341,1
1353,2343,1
1354,2342,1
1359,2343,1
1360,2712,1
1361,2713,1
1362,2714,1
1363,2715,1
1364,2716,1
1390,2339,2
1400,2151,1
1401,2152,1
1410,2171,1
1411,2173,1
1412,2172,1
1413,2175,1
1414,2174,1
1420,2161,1
1421,2163,1
1422,2164,1
1423,2541,1
1430,1421,1
1431,1422,1
1432,2551,1
1440,2561,1
1450,2563,1
1451,2562,1
1460,2552,1
1461,2553,1
2100,1111,1
2101,1113,1
2110,1121,1
2111,1122,1
2119,1129,1
2120,1221,1
2121,1211,4
2122,1411,1
2123,1322,1
2124,1312,1
2125,1223,2
2126,1222,2
2127,1412,2
2128,1311,1
2129,1999,1
2130,1131,1
2131,1133,1
2132,1132,1
2133,1134,1
2139,1999,1
2190,1999,1
4100,6111,1
4101,6116,1
4102,6116,1
4103,6112,1
4104,6113,1
4105,6113,1
4106,6114,1
4107,6115,1
4108,6116,1
4109,6119,2
4110,6121,1
4111,6122,1
4112,6123,1
4113,6124,1
4114,6126,1
4115,6125,1
4116,6127,1
4119,6129,2
4120,6131,2
4130,6221,1
4131,6222,1
4132,6223,1
4133,6224,1
4134,6225,2
4135,6227,1
4136,6226,1
4139,6999,2
4140,6231,2
4150,6211,2
4151,6212,2
4159,6999,1
4160,6117,2
4161,6213,1
4169,6999,1
4170,6101,2
4190,6999,1
5100,1614,2
5101,7501,1
5109,7501,1
5110,1612,1
5111,7101,2
5119,8101,1
5120,1614,1
5121,8101,1
5129,7301,1
5130,1614,1
5131,8101,1
5139,7301,1
5140,1614,1
5141,2630,3
5149,2630,1
5150,1614,1
5151,7601,1
5159,7601,1
5160,1615,1
5161,7101,1
5169,1615,2
5170,1613,2
5171,2640,1
5179,1613,1
5180,1614,1
5181,7401,1
5189,1614,1
5200,7511,1
5201,7512,1
5202,7513,1
5203,7514,1
5204,7515,1
5205,7515,1
5206,7517,1
5207,7516,1
5208,5111,1
