campo_arm8,campo_arm8_desc,sinco3d,sinco3d_desc,tipo_relacion,ajuste_estricto,ajuste_amplio,fuente_base,regla_adaptacion,justificacion,estado_revision,version
1,Educación,231,Supervisores educativos y especialistas en ciencias de la educación,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,232,Profesores de nivel medio y superior,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,233,Profesores de nivel básico,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,234,Profesores en enseñanza especial,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,239,Otros profesores y especialistas en docencia no clasiﬁcados anteriormente,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,256,"Deportistas, entrenadores y árbitros",transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,271,"Auxiliares y técnicos en educación, instructores y capacitadores",directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
1,Educación,522,Trabajadores en el cuidado de personas,transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,142,"Directores y gerentes de museos, cines y otros establecimientos",transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,172,"Coordinadores y jefes de área en museos, cines y otros establecimientos",transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,214,Investigadores y especialistas en ciencias humanistas,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,215,"Autores, periodistas y traductores",directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,216,"Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos",directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,217,Artistas interpretativos,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,232,Profesores de nivel medio y superior,transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,253,Auxiliares en ciencias sociales y humanistas,directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,254,"Diseñadores de modas, industriales, gráﬁcos y decoradores de interiores",directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
2,Artes y humanidades,255,"Locutores, animadores y payasos",directa,1,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
3,"Ciencias sociales, administración y derecho",112,Presidentes y directores generales,transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
3,"Ciencias sociales, administración y derecho",113,"Directores de organizaciones políticas, sindicales y civiles",transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
3,"Ciencias sociales, administración y derecho",121,Directores y gerentes en servicios ﬁnancieros y administrativos,transversal,0,1,"Montt (2015), Anexo 2; adaptación conceptual a SINCO 2011",Revisión por descripción y especialización ocupacional SINCO,Correspondencia preliminar por afinidad del campo de conocimiento requerido,aceptada,1.0.0
