"clasificador_carrera","codigo_fuente","carrera_cmpe2011_lookup","arm8_cmpe2011_lookup","destinos_cmpe2011_posibles","estado_correspondencia_cmpe2011","nivel_evidencia_cmpe2011","fase_correspondencia_cmpe2011","soporte_codigo_n","soporte_codigo_poblacion","proporcion_modal_codigo_registros","proporcion_modal_codigo_poblacion","paneles_soporte_codigo","nivel_cobertura_codigo","regla_correspondencia_cmpe2011","version_regla"
"CMPE 2011","110","110","1","110","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-110","2026-09-13"
"CMPE 2011","111","111","1","111","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-111","2026-09-13"
"CMPE 2011","112","112","1","112","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-112","2026-09-13"
"CMPE 2011","113","113","1","113","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-113","2026-09-13"
"CMPE 2011","114","114","1","114","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-114","2026-09-13"
"CMPE 2011","120","120","1","120","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-120","2026-09-13"
"CMPE 2011","121","121","1","121","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-121","2026-09-13"
"CMPE 2011","122","122","1","122","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-122","2026-09-13"
"CMPE 2011","123","123","1","123","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-123","2026-09-13"
"CMPE 2011","124","124","1","124","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-124","2026-09-13"
"CMPE 2011","125","125","1","125","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-125","2026-09-13"
"CMPE 2011","126","126","1","126","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-126","2026-09-13"
"CMPE 2011","127","127","1","127","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-127","2026-09-13"
"CMPE 2011","128","128","1","128","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-128","2026-09-13"
"CMPE 2011","210","210","2","210","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-210","2026-09-13"
"CMPE 2011","211","211","2","211","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-211","2026-09-13"
"CMPE 2011","212","212","2","212","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-212","2026-09-13"
"CMPE 2011","213","213","2","213","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-213","2026-09-13"
"CMPE 2011","214","214","2","214","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-214","2026-09-13"
"CMPE 2011","215","215","2","215","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-215","2026-09-13"
"CMPE 2011","220","220","2","220","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-220","2026-09-13"
"CMPE 2011","221","221","2","221","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-221","2026-09-13"
"CMPE 2011","222","222","2","222","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-222","2026-09-13"
"CMPE 2011","223","223","2","223","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-223","2026-09-13"
"CMPE 2011","224","224","2","224","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-224","2026-09-13"
"CMPE 2011","225","225","2","225","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-225","2026-09-13"
"CMPE 2011","310","310","3","310","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-310","2026-09-13"
"CMPE 2011","311","311","3","311","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-311","2026-09-13"
"CMPE 2011","312","312","3","312","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-312","2026-09-13"
"CMPE 2011","313","313","3","313","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-313","2026-09-13"
"CMPE 2011","314","314","3","314","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-314","2026-09-13"
"CMPE 2011","315","315","3","315","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-315","2026-09-13"
"CMPE 2011","321","321","3","321","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-321","2026-09-13"
"CMPE 2011","322","322","3","322","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-322","2026-09-13"
"CMPE 2011","330","330","3","330","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-330","2026-09-13"
"CMPE 2011","331","331","3","331","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-331","2026-09-13"
"CMPE 2011","332","332","3","332","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-332","2026-09-13"
"CMPE 2011","333","333","3","333","unique","official_exact","integrated",,,1,1,,"nativa_cmpe2011","CAR-CMPE2011-ID-333","2026-09-13"
