sinco4d,isco88,linea_fuente
980,110,5
1002,110,6
1003,110,7
1111,1110,8
1112,1110,9
1113,1110,10
1121,1110,11
1122,1110,12
1132,1142,13
1134,1142,14
1211,1232,15
1212,1231,16
1221,1229,17
1222,1210,18
1223,1229,19
1224,2422,20
1226,1223,21
1311,1221,22
1314,1312,23
1315,1223,24
1321,1236,25
1322,1226,26
1323,1316,27
1411,8290,28
1412,1225,29
1421,1229,30
1422,1229,31
1423,1318,32
1511,1232,33
1512,1319,34
1521,1319,35
1522,1319,36
1523,1319,37
1524,1319,38
1526,1317,39
1611,1311,40
1612,1311,41
1613,1311,42
1614,1312,43
1615,1313,44
1621,1313,45
1622,1316,46
1623,1316,47
1711,1314,48
1712,1315,49
1721,1319,50
1722,1319,51
1723,1319,52
1999,1319,53
2111,2412,54
2112,2419,55
2121,2411,56
2122,2411,57
2123,2441,58
2132,2442,59
2133,2443,60
2135,2421,61
2142,2445,62
2143,2446,63
2144,2432,64
2145,2460,65
2151,2451,66
2152,2451,67
2161,2444,68
2162,2452,69
2163,2452,70
2164,2454,71
2171,2453,72
2172,2453,73
2173,2453,74
2174,2454,75
2175,2455,76
2212,2111,77
2222,2121,78
2223,2211,79
2231,2213,80
2232,2223,81
2233,2213,82
2241,2143,83
2242,2144,84
2252,2146,85
2253,2149,86
2254,2147,87
2261,2142,88
2262,2142,89
2263,2141,90
2271,2131,91
2272,2131,92
2281,2144,93
2311,2352,94
2312,2351,95
2321,2310,96
2322,2320,97
2331,2320,98
2332,2331,99
2333,2320,100
2335,2332,101
2339,2340,102
2341,2340,103
2342,2340,104
2343,2340,105
2391,2340,106
2411,2221,107
2412,2221,108
2413,2222,109
2422,3224,110
2423,3223,111
2424,3230,112
2425,3241,113
2426,3231,114
2427,3226,115
2428,2212,116
2511,4121,117
2512,4121,118
2513,3422,119
2514,3417,120
2521,3450,121
2522,3441,122
2523,3444,123
2531,4190,124
2532,3432,125
2533,3432,126
2541,3471,127
2542,3471,128
2543,3471,129
2544,3471,130
2551,3472,131
2552,3472,132
2553,3474,133
2561,3475,134
2562,3475,135
2563,3475,136
2611,3434,137
2612,3211,138
2613,3211,139
2614,3227,140
2621,3116,141
2622,3111,142
2623,3117,143
2624,3112,144
2625,3112,145
2630,3115,146
2631,3115,147
2632,7231,148
2633,3115,149
2634,7233,150
2635,3115,151
2636,3115,152
2637,7241,153
2638,7241,154
2639,7241,155
2640,3114,156
2641,3114,157
2642,7137,158
2643,3114,159
2644,3114,160
2645,3114,161
2646,3114,162
2651,3122,163
2652,3131,164
2653,3131,165
2654,3131,166
2655,3131,167
2661,3132,168
2662,3132,169
2663,3132,170
2711,2359,171
2712,2359,172
2713,2359,173
2714,2359,174
2715,2359,175
2716,2320,176
2811,3231,177
2812,3221,178
2813,3226,179
2814,3211,180
2815,3211,181
2821,3228,182
2822,3228,183
2823,3228,184
2825,3232,185
2826,3232,186
2827,7143,187
2991,3232,188
3101,4115,189
3111,4115,190
3113,4113,191
3114,4141,192
3115,4190,193
3121,4212,194
3122,4215,195
3131,4141,196
3132,4131,197
3141,4133,198
3142,4133,199
3201,4222,200
3211,4222,201
3212,4223,202
3213,4223,203
3221,4221,204
3222,5113,205
3231,4190,206
3999,4190,207
4111,5220,208
4201,3413,209
4211,5220,210
4212,9152,211
4213,9113,212
4214,9113,213
4221,3415,214
4222,3412,215
4223,3413,216
4224,3415,217
4231,5220,218
4232,5210,219
4311,4215,220
4312,3413,221
4999,3413,222
5101,5123,223
5111,5122,224
5112,5122,225
5113,5122,226
5114,5122,227
5115,5123,228
5116,5123,229
5201,5143,230
5211,5141,231
5212,5141,232
5213,5169,233
5221,5133,234
5222,5133,235
5241,6113,236
5242,6113,237
5251,5152,238
5252,5149,239
5253,5143,240
5254,6129,241
5301,5161,242
5311,5161,243
5312,5162,244
5313,5169,245
5314,5162,246
5401,5169,247
5412,5169,248
5413,5169,249
6101,6111,250
6111,6111,251
6112,6111,252
6113,6112,253
6114,6112,254
6115,6112,255
6116,6111,256
6117,6113,257
6119,6114,258
6121,6121,259
6122,6121,260
6123,6122,261
6124,6121,262
6125,6121,263
6126,6123,264
6127,6129,265
6128,6129,266
6129,6121,267
6131,6130,268
6201,6130,269
6211,6153,270
6212,6153,271
6221,6153,272
