"variable_nombre","codigo","etiqueta","fuente"
"asiste","0","No asiste a la escuela","procesar_vars_sociodemo.R"
"asiste","1","Asiste a la escuela","procesar_vars_sociodemo.R"
"calificada_damian","0","No calificado","procesar_clases_damian.R"
"calificada_damian","1","Calificado","procesar_clases_damian.R"
"care_industry","0","No cuidado","class_cuidado_rem.R"
"care_industry","1","Industria del cuidado","class_cuidado_rem.R"
"care_industry","2","Hogares con servicio domestico","class_cuidado_rem.R"
"care_industry","3","Excluir veterinaria","class_cuidado_rem.R"
"care_w","0","Resto de trabajadores","class_cuidado_rem.R"
"care_w","1","Trabajadores de cuidado en el sector de cuidado","class_cuidado_rem.R"
"care_w","2","Trabajadores contratados por hogares","class_cuidado_rem.R"
"care_w","3","Trabajadores de cuidado en otros sectores","class_cuidado_rem.R"
"care_w","4","Otros trabajadores del sector de cuidado","class_cuidado_rem.R"
"clase_egp13_damian","1","I. Clase de servicio alta","procesar_clases_damian.R"
"clase_egp13_damian","10","VIIag. Manual no calificado en establecimiento grande","procesar_clases_damian.R"
"clase_egp13_damian","11","VIIap. Manual no calificado pequeno o cuenta propia","procesar_clases_damian.R"
"clase_egp13_damian","12","IVc. Pequenos propietarios y cuenta propia agricolas","procesar_clases_damian.R"
"clase_egp13_damian","13","VIIb. Subordinados agricolas","procesar_clases_damian.R"
"clase_egp13_damian","2","II. Clase de servicio baja","procesar_clases_damian.R"
"clase_egp13_damian","3","IIIa. No manual de rutina alto","procesar_clases_damian.R"
"clase_egp13_damian","4","IIIb. No manual de rutina bajo","procesar_clases_damian.R"
"clase_egp13_damian","5","IVa. Pequenos empleadores","procesar_clases_damian.R"
"clase_egp13_damian","6","IVb. Cuenta propia calificada","procesar_clases_damian.R"
"clase_egp13_damian","7","V. Supervisores manuales y tecnicos bajos","procesar_clases_damian.R"
"clase_egp13_damian","8","VIg. Manual calificado en establecimiento grande","procesar_clases_damian.R"
"clase_egp13_damian","9","VIp. Manual calificado en establecimiento pequeno","procesar_clases_damian.R"
"clase_ocu_damian","1","No manual calificado","procesar_clases_damian.R"
"clase_ocu_damian","2","No manual no calificado","procesar_clases_damian.R"
"clase_ocu_damian","3","Manual calificado","procesar_clases_damian.R"
"clase_ocu_damian","4","Manual no calificado","procesar_clases_damian.R"
"clase1","1","PoblaciC3n econC3micamente activa","ArmonizaciC3n renoe"
"clase1","2","PoblaciC3n no econC3micamente activa","ArmonizaciC3n renoe"
"clase2","0","No aplica","ArmonizaciC3n renoe"
"clase2","1","Ocupada/o","ArmonizaciC3n renoe"
"clase2","2","Desocupada/o","ArmonizaciC3n renoe"
"clase2","3","Disponible para trabajar","ArmonizaciC3n renoe"
"clase2","4","No disponible para trabajar","ArmonizaciC3n renoe"
"class_ocu","0","No cuidado","class_cuidado_rem.R"
"class_ocu","11","Cuidado directo","class_cuidado_rem.R"
"class_ocu","12","Cuidado directo ampliado","class_cuidado_rem.R"
"class_ocu","13","Ocupaciones indirectas","class_cuidado_rem.R"
"contrato0","0","Sin contrato","procesar_vars_laborales.R"
"contrato0","1","Con contrato","procesar_vars_laborales.R"
"contrato1","0","Contrato indefinido","procesar_vars_laborales.R"
"contrato1","1","Contrato temporal","procesar_vars_laborales.R"
"cuida_1d","0","No cuidado","class_cuidado_rem.R"
"cuida_1d","1","Cuidado directo","class_cuidado_rem.R"
"cuida_1d","2","Cuidado directo ampliado","class_cuidado_rem.R"
"cuida_1d","3","Ocupaciones indirectas","class_cuidado_rem.R"
"cuida_1d","4","Otros trabajadores del sector de cuidado","class_cuidado_rem.R"
"cuida_total","0","No","class_cuidado_rem.R"
"cuida_total","1","Si","class_cuidado_rem.R"
"cuidado_posicion_remunerada","0","No","procesar_cuidado_remunerado.R"
"cuidado_posicion_remunerada","1","Sí","procesar_cuidado_remunerado.R"
"cuidado_sin_pago","0","No","procesar_cuidado_remunerado.R"
"cuidado_sin_pago","1","Sí","procesar_cuidado_remunerado.R"
"d_00_05","0","No","procesar_vars_hogar.R"
"d_00_05","1","S<U+00ED>","procesar_vars_hogar.R"
"d_06_12","0","No","procesar_vars_hogar.R"
"d_06_12","1","S<U+00ED>","procesar_vars_hogar.R"
"d_13_17","0","No","procesar_vars_hogar.R"
"d_13_17","1","S<U+00ED>","procesar_vars_hogar.R"
"d_18m","0","No","procesar_vars_hogar.R"
"d_18m","1","S<U+00ED>","procesar_vars_hogar.R"
"d_adm","0","No","procesar_vars_hogar.R"
"d_adm","1","S<U+00ED>","procesar_vars_hogar.R"
"d_joven1","0","No","procesar_vars_hogar.R"
"d_joven1","1","S<U+00ED>","procesar_vars_hogar.R"
"d_joven2","0","No","procesar_vars_hogar.R"
"d_joven2","1","S<U+00ED>","procesar_vars_hogar.R"
"educacion_universitaria","0","No","procesar_libro1.R"
"educacion_universitaria","1","Si","procesar_libro1.R"
"estado_ingreso_cuidado","imputado_positivo","Ingreso positivo imputado","procesar_cuidado_remunerado.R"
"estado_ingreso_cuidado","no_determinado","Estado de ingreso no determinado","procesar_cuidado_remunerado.R"
"estado_ingreso_cuidado","observado_positivo","Ingreso positivo observado","procesar_cuidado_remunerado.R"
"estado_ingreso_cuidado","sin_ingreso_identificado","Ausencia de ingreso identificada","procesar_cuidado_remunerado.R"
"extr","0","Nacida en Mexico","procesar_libro1.R"
"extr","1","Nacida en el extranjero","procesar_libro1.R"
"extr_especificado","0","Pais extranjero no especificado","procesar_libro1.R"
"extr_especificado","1","Region de origen identificada","procesar_libro1.R"
"familyt","1","Unipersonal","procesar_vars_hogar.R"
"familyt","2","Corresidentes","procesar_vars_hogar.R"
"familyt","3","Parejas sin hijos","procesar_vars_hogar.R"
"familyt","4","Parejas con hijos","procesar_vars_hogar.R"
"familyt","5","Jefa/e con hijos","procesar_vars_hogar.R"
"familyt","6","Hogares extensos","procesar_vars_hogar.R"
"familyt","7","Compuestos","procesar_vars_hogar.R"
"manual_damian","0","No manual","procesar_clases_damian.R"
"manual_damian","1","Manual","procesar_clases_damian.R"
"mismatch","-1","Sobreeducación","procesar_vars_laborales.R"
"mismatch","0","Ajuste","procesar_vars_laborales.R"
"mismatch","1","Subeducación","procesar_vars_laborales.R"
