cmo,classification,method,rule_id,records,population
8100,isco88_damian,consenso_destinos_oficiales,OFICIAL_8100,3507,985557
1423,isco88_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
6260,isco88_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,isco88_damian,consenso_destinos_oficiales,OFICIAL_6150,129,43662
2100,isco88_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
1390,isco88_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
5410,isco88_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
8311,isco88_damian,consenso_destinos_oficiales,OFICIAL_8311,50,8655
5159,isco88_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
5246,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,supervisa_damian,consenso_destinos_oficiales,OFICIAL_8100,3507,985557
1105,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
6270,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6270,3578,825950
5400,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2127,467,114766
5141,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5141,590,162133
2124,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2124,501,136364
8150,supervisa_damian,consenso_destinos_oficiales,OFICIAL_8150,340,98871
6230,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6230,735,201084
1423,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
1205,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1205,664,166429
2121,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2121,649,188723
6260,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6150,129,43662
6160,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6160,615,172672
4120,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4120,713,170204
1230,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1230,226,57892
2100,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
1204,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1204,581,153339
2125,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2125,432,101542
2123,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2123,105,34457
6232,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
7121,supervisa_damian,consenso_destinos_oficiales,OFICIAL_7121,442,117567
1390,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
7201,supervisa_damian,consenso_destinos_oficiales,OFICIAL_7201,1551,411499
1250,supervisa_damian,consenso_destinos_oficiales,OFICIAL_1250,421,98103
6100,supervisa_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4170,114,32389
5111,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
4109,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4109,187,43443
5380,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
2133,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
5249,supervisa_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4134,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4134,76,21151
4119,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4119,65,18905
4151,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4151,30,10544
2126,supervisa_damian,consenso_destinos_oficiales,OFICIAL_2126,25,4548
4160,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
4139,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4139,1,403
4140,supervisa_damian,consenso_destinos_oficiales,OFICIAL_4140,6,982
5246,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
2124,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
1423,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2121,421,137177
6260,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
2100,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2123,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
2125,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2125,405,93872
6232,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
1390,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
6101,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6101,38,13103
4170,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6110,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6110,67,18789
6121,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6121,46,11550
6100,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6100,23,4046
5111,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
2133,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
5249,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4160,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
6130,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6130,17,6841
5380,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5380,2,356
7121,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
