cmo,classification,method,rule_id,records,population
8100,isco88_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1944,3507,985557
1423,isco88_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1886,482,152065
8311,isco88_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1961,50,8655
5246,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2678,435,126487
8100,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2784,3507,985557
1105,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2580,657,186122
6270,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2770,3578,825950
5400,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2722,1734,453965
2127,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2632,467,114766
5100,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2649,210,65401
6130,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2748,134,45536
2124,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2630,501,136364
8150,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2798,340,98871
6230,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2763,735,201084
1423,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2620,482,152065
1205,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2598,664,166429
2121,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2627,649,188723
6260,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2769,174,54708
6150,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2752,129,43662
6160,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2753,615,172672
4120,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2645,713,170204
1230,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2602,226,57892
6101,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2742,440,93003
1204,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2597,581,153339
2125,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2631,432,101542
2123,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2629,105,34457
6232,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2765,150,39167
1104,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2579,318,89773
1221,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2601,130,31305
7121,supervisa_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2774,442,117567
