tipo_regla_cmo_sinco,regla_cmo_sinco,detalle_regla_cmo_sinco,records,population
p4a_p4f,CMO2012_SINCO2011_P4A_P4F_7201_4632_2,CMO 7201 + p4a=4632 + p4f=2 -> SINCO 9512,325,96922
p4a_scian2,CMO2012_SINCO2011_P4A_SCIAN2_1205_81,CMO 1205 + primeros 2 digitos de p4a=81 -> SINCO 2643,394,115888
p4f,CMO2012_SINCO2011_P4F_7201_8,CMO 7201 + p4f=8 -> SINCO 4224,1185,379137
p4f,CMO2012_SINCO2011_P4F_7201_3,CMO 7201 + p4f=3 -> SINCO 9512,826,307187
panel_global,CMO2012_SINCO2011_GLOBAL_7111,CMO 7111 -> SINCO 4211,12287,3460965
panel_global,CMO2012_SINCO2011_GLOBAL_8200,CMO 8200 -> SINCO 9611,6593,1922531
panel_global,CMO2012_SINCO2011_GLOBAL_8124,CMO 8124 -> SINCO 9621,4589,1209335
panel_global,CMO2012_SINCO2011_GLOBAL_8303,CMO 8303 -> SINCO 5313,2449,652645
panel_global,CMO2012_SINCO2011_GLOBAL_6210,CMO 6210 -> SINCO 3121,2108,528437
panel_global,CMO2012_SINCO2011_GLOBAL_8101,CMO 8101 -> SINCO 5116,2022,514143
panel_global,CMO2012_SINCO2011_GLOBAL_1220,CMO 1220 -> SINCO 2811,1280,357870
panel_global,CMO2012_SINCO2011_GLOBAL_1172,CMO 1172 -> SINCO 2121,1445,354646
panel_global,CMO2012_SINCO2011_GLOBAL_5230,CMO 5230 -> SINCO 7311,1060,308936
panel_global,CMO2012_SINCO2011_GLOBAL_8301,CMO 8301 -> SINCO 5312,1001,293593
panel_global,CMO2012_SINCO2011_GLOBAL_1130,CMO 1130 -> SINCO 2411,1094,263027
panel_global,CMO2012_SINCO2011_GLOBAL_8125,CMO 8125 -> SINCO 5241,639,157057
panel_global,CMO2012_SINCO2011_GLOBAL_4150,CMO 4150 -> SINCO 6211,599,144346
panel_global,CMO2012_SINCO2011_GLOBAL_8122,CMO 8122 -> SINCO 9712,354,92272
panel_global,CMO2012_SINCO2011_GLOBAL_7131,CMO 7131 -> SINCO 4223,357,89269
panel_global,CMO2012_SINCO2011_GLOBAL_1206,CMO 1206 -> SINCO 2655,351,87130
panel_global,CMO2012_SINCO2011_GLOBAL_8123,CMO 8123 -> SINCO 9622,292,69911
panel_global,CMO2012_SINCO2011_GLOBAL_8312,CMO 8312 -> SINCO 5413,198,50520
panel_global,CMO2012_SINCO2011_GLOBAL_1401,CMO 1401 -> SINCO 2152,154,40690
panel_global,CMO2012_SINCO2011_GLOBAL_7212,CMO 7212 -> SINCO 9632,143,40226
panel_global,CMO2012_SINCO2011_GLOBAL_1161,CMO 1161 -> SINCO 2143,76,17151
panel_global,CMO2012_SINCO2011_GLOBAL_1420,CMO 1420 -> SINCO 2161,57,14551
scian_sector,CMO2012_SINCO2011_SCIAN_1205_14,CMO 1205 + SCIAN sector=14 -> SINCO 2651,349,102418
scian_sector,CMO2012_SINCO2011_SCIAN_6270_15,CMO 6270 + SCIAN sector=15 -> SINCO 3115,336,74484
scian_sector,CMO2012_SINCO2011_SCIAN_7201_14,CMO 7201 + SCIAN sector=14 -> SINCO 9661,266,72219
scian_sector,CMO2012_SINCO2011_SCIAN_6230_16,CMO 6230 + SCIAN sector=16 -> SINCO 3211,276,70431
scian_sector,CMO2012_SINCO2011_SCIAN_5246_19,CMO 5246 + SCIAN sector=19 -> SINCO 2634,202,66266
scian_sector,CMO2012_SINCO2011_SCIAN_7121_18,CMO 7121 + SCIAN sector=18 -> SINCO 8344,131,41022
scian_sector,CMO2012_SINCO2011_SCIAN_1250_16,CMO 1250 + SCIAN sector=16 -> SINCO 2531,74,17663
