strategy,record_coverage_4d,population_coverage_4d,record_coverage_3d,population_coverage_3d,record_coverage_2d,population_coverage_2d,record_coverage_1d,population_coverage_1d,cmo,records,population,records_4d,population_4d,records_3d,population_3d,records_2d,population_2d,records_1d,population_1d,cmo_label,official_destinations_4d,official_n_destinations_4d,official_maximum_level,review_rules,review_rule_types,review_scopes,application_variables,panel_pair_n_max,panel_forward_share_max,panel_reverse_share_max
oficial,1,1,1,1,1,1,1,1,4100,8063,3473701,8063,3473701,8063,3473701,8063,3473701,8063,3473701,Trabajadores en el cultivo de maíz y/o frijol,6111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4100,8063,3473701,8063,3473701,8063,3473701,8063,3473701,8063,3473701,Trabajadores en el cultivo de maíz y/o frijol,6111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4100,8063,3473701,8063,3473701,8063,3473701,8063,3473701,8063,3473701,Trabajadores en el cultivo de maíz y/o frijol,6111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,7111,12287,3460965,0,0,12287,3460965,12287,3460965,12287,3460965,Despachadores y dependientes de comercio,4211|4212|4213|4214,4,3d,CMO2012_SINCO2011_GLOBAL_7111,panel_global,validacion_panel_ENOE,cmo_4d,1809,0.6465926949804025,0.7742411399436193
oficial_panel,1,1,1,1,1,1,1,1,7111,12287,3460965,12287,3460965,12287,3460965,12287,3460965,12287,3460965,Despachadores y dependientes de comercio,4211|4212|4213|4214,4,3d,CMO2012_SINCO2011_GLOBAL_7111,panel_global,validacion_panel_ENOE,cmo_4d,1809,0.6465926949804025,0.7742411399436193
oficial_panel_enoe,1,1,1,1,1,1,1,1,7111,12287,3460965,12287,3460965,12287,3460965,12287,3460965,12287,3460965,Despachadores y dependientes de comercio,4211|4212|4213|4214,4,3d,CMO2012_SINCO2011_GLOBAL_7111,panel_global,validacion_panel_ENOE,cmo_4d,1809,0.6465926949804025,0.7742411399436193
oficial,1,1,1,1,1,1,1,1,7100,7920,2395379,7920,2395379,7920,2395379,7920,2395379,7920,2395379,Comerciantes en establecimientos,4111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,7100,7920,2395379,7920,2395379,7920,2395379,7920,2395379,7920,2395379,Comerciantes en establecimientos,4111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,7100,7920,2395379,7920,2395379,7920,2395379,7920,2395379,7920,2395379,Comerciantes en establecimientos,4111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,8200,6593,1922531,0,0,0,0,0,0,0,0,Trabajadores en servicios domésticos,5113|9611|9643,3,unresolved,CMO2012_SINCO2011_GLOBAL_8200,panel_global,validacion_panel_ENOE,cmo_4d,2145,0.9216315072898476,0.9690190752162144
oficial_panel,1,1,1,1,1,1,1,1,8200,6593,1922531,6593,1922531,6593,1922531,6593,1922531,6593,1922531,Trabajadores en servicios domésticos,5113|9611|9643,3,unresolved,CMO2012_SINCO2011_GLOBAL_8200,panel_global,validacion_panel_ENOE,cmo_4d,2145,0.9216315072898476,0.9690190752162144
oficial_panel_enoe,1,1,1,1,1,1,1,1,8200,6593,1922531,6593,1922531,6593,1922531,6593,1922531,6593,1922531,Trabajadores en servicios domésticos,5113|9611|9643,3,unresolved,CMO2012_SINCO2011_GLOBAL_8200,panel_global,validacion_panel_ENOE,cmo_4d,2145,0.9216315072898476,0.9690190752162144
