cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
4100,Trabajadores en el cultivo de maíz y/o frijol,1,6111,Trabajadores en el cultivo de maíz y/o frijol,1,611,1,61,1,6,TRUE,1,6111,1,0,8063,3473701
7111,Despachadores y dependientes de comercio,4,4211|4212|4213|4214,"Empleados de ventas, despachadores y dependientes en comercios || Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras || Vendedores por teléfono || Choferes vendedores",1,421,1,42,1,4,TRUE,3,NA,1,0,12287,3460965
7100,Comerciantes en establecimientos,1,4111,Comerciantes en establecimientos,1,411,1,41,1,4,TRUE,1,5220,1,0,7920,2395379
8200,Trabajadores en servicios domésticos,3,5113|9611|9643,Cocineros domésticos || Trabajadores domésticos || Lavanderos y planchadores domésticos,3,NA,2,NA,2,NA,TRUE,3,NA,1,0,6593,1922531
5460,"Ayudantes, peones y similares en la construcción",1,9221,Trabajadores de apoyo en la construcción,1,922,1,92,1,9,TRUE,1,9313,1,0,4530,1373899
7201,Vendedores ambulantes de artículos diversos,4,4224|9512|9661|9663,Vendedores por catálogo || Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || Recolectores de basura y material reciclable || Recolectores de otros materiales,3,NA,3,NA,2,NA,TRUE,4,NA,1,0,4153,1266964
8124,"Trabajadores de aseo en oficinas, escuelas, hospitales y otros establecimientos",3,9621|9631|9662,Barrenderos y trabajadores de limpieza (excepto en hoteles y restaurantes) || Lavadores de vehículos en establecimientos || Clasificadores de desechos,3,NA,1,96,1,9,TRUE,3,NA,1,0,4589,1209335
5520,"Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",1,8342,"Conductores de autobuses, camiones, camionetas, taxis y automóviles de pasajeros",1,834,1,83,1,8,TRUE,1,8322,1,0,3902,1099270
5260,Albañiles,1,7121,"Albañiles, mamposteros y afines",1,712,1,71,1,7,TRUE,1,7122,1,0,4104,1096883
8100,Fonderos (preparan y sirven alimentos) en establecimientos,2,5112|5114,"Fonderos, vendedores y comerciantes de comida || Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera",1,511,1,51,1,5,TRUE,1,5122,1,0,3507,985557
6270,Otros trabajadores en servicios administrativos no clasificados anteriormente,3,3115|9731|9732,Trabajadores de apoyo en actividades administrativas diversas || Lecturistas de medidores || Recolectores de dinero,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,3914,900434
7210,Vendedores y preparadores de alimentos en la vía pública,1,9521,Preparadores y vendedores ambulantes de alimentos,1,952,1,95,1,9,TRUE,1,9111,1,0,2692,853855
5521,"Conductores de camiones, camionetas y automóviles de carga",1,8341,"Conductores de camiones, camionetas y automóviles de carga",1,834,1,83,1,8,TRUE,1,8324,1,0,2694,832961
6200,Secretarias,1,3111,Secretarias,1,311,1,31,1,3,TRUE,1,4115,1,0,3097,777117
1330,Profesores de enseñanza primaria,1,2332,Profesores de enseñanza primaria,1,233,1,23,1,2,TRUE,1,2331,1,0,2425,660802
8303,Vigilantes y guardias,2,5313|9633,Vigilantes y guardias en establecimientos || Cuidadores y acomodadores de autos en estacionamientos,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,2449,652645
