p3coe,origen,registros,poblacion,discrepancias
8100,consenso_destinos_oficiales,3505,985462,0
5400,consenso_destinos_oficiales,1734,453965,0
1105,consenso_destinos_oficiales,657,186122,0
6160,consenso_destinos_oficiales,612,171457,0
1423,consenso_destinos_oficiales,482,152065,0
2121,consenso_destinos_oficiales,421,137177,0
2124,consenso_destinos_oficiales,456,127106,0
5246,consenso_destinos_oficiales,435,126487,0
2127,consenso_destinos_oficiales,455,111666,0
2125,consenso_destinos_oficiales,405,93872,0
1104,consenso_destinos_oficiales,318,89773,0
6260,consenso_destinos_oficiales,174,54708,0
6150,consenso_destinos_oficiales,128,43527,0
6232,consenso_destinos_oficiales,150,39167,0
1221,consenso_destinos_oficiales,130,31305,0
2123,consenso_destinos_oficiales,96,31195,0
1390,consenso_destinos_oficiales,152,30543,0
4170,consenso_destinos_oficiales,106,29736,0
6110,consenso_destinos_oficiales,67,18789,0
6101,consenso_destinos_oficiales,38,13103,0
6121,consenso_destinos_oficiales,46,11550,0
5111,consenso_destinos_oficiales,52,10227,0
4160,consenso_destinos_oficiales,50,8027,0
5410,consenso_destinos_oficiales,48,7842,0
6130,consenso_destinos_oficiales,17,6841,0
5249,consenso_destinos_oficiales,17,5042,0
2100,consenso_destinos_oficiales,22,4550,0
6100,consenso_destinos_oficiales,23,4046,0
2133,consenso_destinos_oficiales,18,3798,0
7121,consenso_destinos_oficiales,1,445,0
5380,consenso_destinos_oficiales,2,356,0
5159,consenso_destinos_oficiales,1,37,0
5190,pendiente,108,30301,0
6131,pendiente,63,15764,0
1429,pendiente,12,3967,0
5551,pendiente,6,3374,0
4150,pendiente,3,3144,0
6290,pendiente,14,2041,0
1369,pendiente,4,1603,0
4140,pendiente,6,982,0
2122,pendiente,3,501,0
5521,pendiente,1,174,0
5509,pendiente,2,158,0
6109,pendiente,1,129,0
4100,pendiente,1,114,0
5335,pendiente,1,102,0
1153,pendiente,2,100,0
8131,pendiente,2,76,0
4110,pendiente,1,76,0
1490,pendiente,1,62,0
7210,pendiente,1,32,0
4100,puente_general,8062,3473587,0
7111,puente_general,12287,3460965,0
7100,puente_general,7920,2395379,0
8200,puente_general,6593,1922531,6593
5460,puente_general,4530,1373899,0
8124,puente_general,4589,1209335,0
5520,puente_general,3902,1099270,0
5260,puente_general,4104,1096883,0
7201,puente_general,2602,855465,1416
7210,puente_general,2691,853823,0
5521,puente_general,2693,832787,0
6200,puente_general,3097,777117,0
1330,puente_general,2425,660802,0
