sinco4d,pos_ocu,emple7c,isco88_damian,clase_egp13_damian
6119,1,1,6114,13
6119,1,2,6114,13
6119,1,3,6114,13
6119,1,4,6114,13
6119,1,5,6114,13
6119,1,6,6114,13
6119,1,7,6114,13
6119,3,1,6114,12
6119,3,2,6114,12
6119,3,3,6114,12
6119,3,4,6114,12
6119,3,5,6114,12
6119,3,6,6114,12
6119,3,7,6114,12
6119,4,1,6114,13
6119,4,2,6114,13
6119,4,3,6114,13
6119,4,4,6114,13
6119,4,5,6114,13
6119,4,6,6114,13
6119,4,7,6114,13
6131,1,1,6130,13
6131,1,2,6130,13
6131,1,3,6130,13
6131,1,4,6130,13
6131,1,5,6130,13
6131,1,6,6130,13
6131,1,7,6130,13
6131,3,1,6130,12
6131,3,2,6130,12
6131,3,3,6130,12
6131,3,4,6130,12
6131,3,5,6130,12
6131,3,6,6130,12
6131,3,7,6130,12
6131,4,1,6130,13
6131,4,2,6130,13
6131,4,3,6130,13
6131,4,4,6130,13
6131,4,5,6130,13
6131,4,6,6130,13
6131,4,7,6130,13
9111,1,1,9211,11
9111,1,2,9211,11
9111,1,3,9211,11
9111,1,4,9211,11
9111,1,5,9211,10
9111,1,6,9211,10
9111,1,7,9211,11
9111,3,1,9211,11
9111,3,2,9211,11
9111,3,3,9211,11
9111,3,4,9211,11
9111,3,5,9211,NA
9111,3,6,9211,NA
9111,3,7,9211,NA
9111,4,1,9211,11
9111,4,2,9211,11
9111,4,3,9211,11
9111,4,4,9211,11
9111,4,5,9211,10
9111,4,6,9211,10
9111,4,7,9211,11
9113,1,1,9211,11
9113,1,2,9211,11
9113,1,3,9211,11
9113,1,4,9211,11
9113,1,5,9211,10
9113,1,6,9211,10
9113,1,7,9211,11
9113,3,1,9211,11
9113,3,2,9211,11
9113,3,3,9211,11
9113,3,4,9211,11
9113,3,5,9211,NA
9113,3,6,9211,NA
9113,3,7,9211,NA
9113,4,1,9211,11
9113,4,2,9211,11
9113,4,3,9211,11
9113,4,4,9211,11
9113,4,5,9211,10
9113,4,6,9211,10
9113,4,7,9211,11
