calidad_puente_sinco,nivel_maximo_sinco,registros,poblacion,puente,anio,trim
Puente analítico CMO-SINCO 2011,4d,103444,30586420,CMO_SINCO2011,2012,2
Convergencia oficial CMO-SINCO: CMO 5246 -> SINCO 263 a tres digitos; cuatro digitos permanecen ambiguos,3d,435,126487,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 7111 -> SINCO 4211,4d,12287,3460965,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8124 -> SINCO 9621,4d,4589,1209335,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8200 -> SINCO 9611,4d,6593,1922531,CMO_SINCO2011,2012,2
Convergencia oficial CMO-SINCO: CMO 8100 -> SINCO 511 a tres digitos; cuatro digitos permanecen ambiguos,3d,3507,985557,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 1220 -> SINCO 2811,4d,1280,357870,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 1130 -> SINCO 2411,4d,1094,263027,CMO_SINCO2011,2012,2
CMO sin equivalencia de cuatro dígitos,1d,13169,3332679,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 1205 + primeros 2 digitos de p4a=81 -> SINCO 2643,4d,394,115888,CMO_SINCO2011,2012,2
CMO sin equivalencia de cuatro dígitos,3d,3545,930925,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 6210 -> SINCO 3121,4d,2108,528437,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 7201 + p4f=8 -> SINCO 4224,4d,1185,379137,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8301 -> SINCO 5312,4d,1001,293593,CMO_SINCO2011,2012,2
Convergencia oficial CMO-SINCO: CMO 2124 -> SINCO 131 a tres digitos; cuatro digitos permanecen ambiguos,3d,501,136364,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 1172 -> SINCO 2121,4d,1445,354646,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8303 -> SINCO 5313,4d,2449,652645,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8101 -> SINCO 5116,4d,2022,514143,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8123 -> SINCO 9622,4d,292,69911,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 8122 -> SINCO 9712,4d,354,92272,CMO_SINCO2011,2012,2
Regla validada con panel ENOE: CMO 5230 -> SINCO 7311,4d,1060,308936,CMO_SINCO2011,2012,2
