feature,cmo,aux,old_value,new_value,rescata_original,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,registros,poblacion
p4f,7201,2,3,11,FALSE,106,112,0.5876167439360344,0.6394433538706731,1,1,1264,329925
lugar_posicion,7201,2|3,3,11,FALSE,95,105,0.5560775652304122,0.6321212484274846,1,1,1127,301010
p4a3,7201,469,3,3,TRUE,209,216,0.9709737664287086,0.9853538141785471,1,1,606,132258
p4a,7201,4690,3,3,TRUE,209,216,0.9709737664287086,0.9853538141785471,1,1,606,132258
p4a3,7201,466,3,11,FALSE,55,44,0.8845984840162584,0.6576825511868092,1,1,251,92112
p4a,7201,4662,3,11,FALSE,55,42,0.8845984840162584,0.6631909727181832,1,1,236,88919
posicion,1250,1,3,3,TRUE,49,38,0.5395194986072424,0.587224319491357,1,1,375,87248
p4a3,7201,465,3,11,FALSE,32,36,0.9618730808597749,0.7278273641396452,1,1,318,76882
p4a,7201,4652,3,11,FALSE,32,36,0.9618730808597749,0.7278273641396452,1,1,310,75212
tamano,1250,6,3,3,TRUE,41,32,0.5201856443511984,0.7452292794075762,1,1,240,55324
p4a,1204,8112,2,2,TRUE,9,6,0.6704229700524853,0.6089500860585197,1,1,188,51834
posicion,1230,1,2,2,TRUE,21,20,0.7703950355683367,0.5127199088722947,1,1,200,49826
p4a2,4120,11,13,11,FALSE,29,12,0.7699591836734694,0.9098155317695286,1,1,204,46117
scian,4120,1,13,11,FALSE,29,12,0.7699591836734694,0.9098155317695286,1,1,204,46117
tamano,4120,2,13,11,FALSE,27,11,0.7705829596412556,0.9079069767441861,1,1,184,42765
posicion,4120,4,13,11,FALSE,27,8,0.7655447803764974,0.9489194499017681,1,1,168,37885
sector_posicion,4120,11|4,13,11,FALSE,27,8,0.7655447803764974,0.9489194499017681,1,1,166,37390
scian,5380,5,8,8,TRUE,9,10,0.7066478076379067,0.6046738072054528,1,1,81,35129
p4a3,4120,111,13,11,FALSE,29,11,0.7866555462885738,0.9074766355140187,1,1,147,34254
p4a,4120,1110,13,11,FALSE,29,11,0.7866555462885738,0.9074766355140187,1,1,147,34254
posicion,7201,1,3,11,FALSE,12,11,0.7428350116189001,0.5615316511730855,1,1,124,29965
tamano,1230,6,2,2,TRUE,16,18,0.7568559706326927,0.5915361959386142,1,1,123,29683
p4a3,7201,461,3,11,FALSE,13,9,0.7649122807017544,0.5489086499595797,1,1,106,29650
p4a2,5380,32,8,8,TRUE,8,8,0.6968722595732242,0.6544831524842947,1,1,67,29574
sector_posicion,5380,32|1,8,8,TRUE,8,8,0.6968722595732242,0.6544831524842947,1,1,67,29574
p4a,7201,4612,3,11,FALSE,13,9,0.7649122807017544,0.5987654320987654,1,1,105,29562
p4a3,5380,325,8,8,TRUE,7,7,0.7059013221541438,0.6340725806451613,1,1,58,26215
p4a,5380,3250,8,8,TRUE,7,7,0.7059013221541438,0.6340725806451613,1,1,58,26215
sector_posicion,7201,46|1,3,11,FALSE,11,10,0.7341075182700971,0.5681766446619622,1,1,105,26103
p4a2,1230,62,2,2,TRUE,12,10,0.9278705913550782,0.5588679245283019,1,1,97,24868
scian,1230,16,2,2,TRUE,12,10,0.9278705913550782,0.5588679245283019,1,1,97,24868
sector_posicion,1230,62|1,2,2,TRUE,11,10,0.918146253385495,0.5588679245283019,1,1,85,20829
p4a3,6101,613,1,1,TRUE,6,11,0.6197520991603359,1,0.9790438768827767,0.9782894736842105,63,15344
tamano,4109,2,13,11,FALSE,6,14,0.6878483835005574,0.8806566104702751,1,1,83,14957
p4a3,7201,464,3,11,FALSE,5,6,0.8748707342295761,0.6166902404526167,1,1,55,14093
p4a2,1204,32,2,8,FALSE,6,6,0.6791699920191541,0.8658959537572254,1,1,38,10703
sector_posicion,1204,32|1,2,8,FALSE,6,6,0.6791699920191541,0.8658959537572254,1,1,38,10703
p4a3,7201,463,3,11,FALSE,35,48,0.5015513175857361,0.5785547785547785,1,1,50,10071
p4f,7201,4,3,11,FALSE,6,19,1,1,1,1,32,10052
lugar_posicion,7201,4|3,3,11,FALSE,6,17,1,1,1,1,29,9798
p4a3,1230,622,2,2,TRUE,7,9,0.8750678978815861,0.5972529906956137,1,1,48,9638
p4a,7201,4632,3,11,FALSE,34,48,0.5095620783016029,0.5785547785547785,1,1,48,9512
p4a,1230,6222,2,2,TRUE,7,8,0.9421052631578948,0.5862539827036869,1,1,43,9063
