stage,consumer,required_sinco_level,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
official_only,skill_level,sinco1d,140821,29504,40760558,8006295,0.8267782181124321,0.8358250633888555
official_only,mismatch,sinco1d,140751,29574,40739662,8027191,0.8263672391017173,0.8353965756207398
official_only,mismatch2_reference,sinco1d,140607,29718,40695675,8071178,0.8255217965653897,0.834494590003583
panel_validated,skill_level,sinco1d,154013,16312,44445540,4321313,0.9042301482460003,0.9113883153378792
panel_validated,mismatch,sinco1d,153935,16390,44423414,4343439,0.9037722002054895,0.9109346055198599
panel_validated,mismatch2_reference,sinco1d,153775,16550,44372719,4394134,0.90283281960957,0.9098950674549371
previous_implemented,skill_level,sinco1d,170325,0,48766853,0,1,1
previous_implemented,mismatch,sinco1d,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
previous_implemented,mismatch2_reference,sinco1d,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_accepted_enoe,skill_level,sinco1d,170325,0,48766853,0,1,1
all_accepted_enoe,mismatch,sinco1d,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_accepted_enoe,mismatch2_reference,sinco1d,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_plus_consensus_panel,skill_level,sinco1d,170325,0,48766853,0,1,1
all_plus_consensus_panel,mismatch,sinco1d,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_plus_consensus_panel,mismatch2_reference,sinco1d,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_plus_consensus_official,skill_level,sinco1d,170325,0,48766853,0,1,1
all_plus_consensus_official,mismatch,sinco1d,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_plus_consensus_official,mismatch2_reference,sinco1d,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
care_first_destination,skill_level,sinco1d,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,mismatch,sinco1d,170021,304,48686825,80028,0.9982151768677529,0.998358967309209
care_first_destination,mismatch2_reference,sinco1d,169845,480,48628301,138552,0.9971818582122413,0.997158889871364
