"puente","anio","trim","salida","aplicable","registros_total","poblacion_total","registros_clasificados","registros_pendientes","poblacion_clasificada","cobertura_registros","cobertura_ponderada","ocupados_excluidos_peso"
"CMO_SINCO2011",2012,2,"sinco4d",TRUE,170325,48766853,146956,23369,42599308,0.862797592837223,0.873529977421344,0
"CMO_SINCO2011",2012,2,"sinco3d",TRUE,170325,48766853,157156,13169,45434174,0.922683105827095,0.931660978821004,0
"CMO_SINCO2011",2012,2,"sinco2d",TRUE,170325,48766853,157156,13169,45434174,0.922683105827095,0.931660978821004,0
"CMO_SINCO2011",2012,2,"sinco1d",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"skill_level",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"skill_actual",TRUE,170325,48766853,170240,85,48743627,0.999500954058418,0.999523733877189,0
"CMO_SINCO2011",2012,2,"mismatch",TRUE,170325,48766853,170240,85,48743627,0.999500954058418,0.999523733877189,0
"CMO_SINCO2011",2012,2,"esco_ref",TRUE,170325,48766853,170063,262,48685019,0.998461764274182,0.998321933957887,0
"CMO_SINCO2011",2012,2,"mismatch2",TRUE,170325,48766853,170063,262,48685019,0.998461764274182,0.998321933957887,0
"CMO_SINCO2011",2012,2,"grupo_ocu9_damian",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"isco88_damian",TRUE,170325,48766853,150570,19755,43646929,0.884015852047556,0.895012212496058,0
"CMO_SINCO2011",2012,2,"clase_ocu_damian",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"calificada_damian",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"manual_damian",TRUE,170325,48766853,170325,0,48766853,1,1,0
"CMO_SINCO2011",2012,2,"supervisa_damian",TRUE,170325,48766853,169000,1325,48421080,0.992220754440041,0.992909671657509,0
"CMO_SINCO2011",2012,2,"clase_egp13_damian",TRUE,170325,48766853,170093,232,48704153,0.998637898135917,0.998714290626873,0
"CMO_SINCO2011",2012,2,"clase_egp7_damian",TRUE,170325,48766853,166100,4225,47593867,0.975194481138999,0.97594706387964,0
"CMO_SINCO2011",2012,2,"clase_alt6_damian",TRUE,170325,48766853,166183,4142,47592946,0.975681784823132,0.97592817810081,0
"CMO_SINCO2011",2012,2,"macro_egp4_damian",TRUE,170325,48766853,167287,3038,47929080,0.982163510934977,0.982820851696131,0
"CMO_SINCO2011",2012,2,"macro_solis4_damian",TRUE,170325,48766853,166627,3698,47730697,0.978288565976809,0.978752863138411,0
