stage,output,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
official_only,sinco4d,170325,48766853,103444,66881,30586420,18180433,0.6073330397768971,0.6271969200063002
official_only,sinco3d,170325,48766853,140821,29504,40760558,8006295,0.8267782181124321,0.8358250633888555
official_only,sinco2d,170325,48766853,140821,29504,40760558,8006295,0.8267782181124321,0.8358250633888555
official_only,sinco1d,170325,48766853,140821,29504,40760558,8006295,0.8267782181124321,0.8358250633888555
panel_validated,sinco4d,170325,48766853,142592,27733,41255671,7511182,0.8371759870835168,0.8459777176927943
panel_validated,sinco3d,170325,48766853,154013,16312,44445540,4321313,0.9042301482460003,0.9113883153378792
panel_validated,sinco2d,170325,48766853,154013,16312,44445540,4321313,0.9042301482460003,0.9113883153378792
panel_validated,sinco1d,170325,48766853,154013,16312,44445540,4321313,0.9042301482460003,0.9113883153378792
previous_implemented,sinco4d,170325,48766853,105785,64540,31370773,17396080,0.6210773521209453,0.6432806521265582
previous_implemented,sinco3d,170325,48766853,143162,27163,41544911,7221942,0.8405225304564803,0.8519087955091136
previous_implemented,sinco2d,170325,48766853,143162,27163,41544911,7221942,0.8405225304564803,0.8519087955091136
previous_implemented,sinco1d,170325,48766853,170325,0,48766853,0,1,1
all_accepted_enoe,sinco4d,170325,48766853,146956,23369,42599308,6167545,0.8627975928372229,0.873529977421344
all_accepted_enoe,sinco3d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_accepted_enoe,sinco2d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_accepted_enoe,sinco1d,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_panel,sinco4d,170325,48766853,146956,23369,42599308,6167545,0.8627975928372229,0.873529977421344
all_plus_consensus_panel,sinco3d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_plus_consensus_panel,sinco2d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_plus_consensus_panel,sinco1d,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,sinco4d,170325,48766853,146956,23369,42599308,6167545,0.8627975928372229,0.873529977421344
all_plus_consensus_official,sinco3d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_plus_consensus_official,sinco2d,170325,48766853,157156,13169,45434174,3332679,0.9226831058270952,0.9316609788210037
all_plus_consensus_official,sinco1d,170325,48766853,170325,0,48766853,0,1,1
care_first_destination,sinco4d,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,sinco3d,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,sinco2d,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
care_first_destination,sinco1d,170325,48766853,170106,219,48710051,56802,0.9987142228093351,0.9988352334320199
