p3coe,sinco2011_n_destinos,sinco2011_calidad,registros,poblacion,destinos,etiquetas_destinos,convergencia3d,convergencia2d,convergencia1d
7341,2,Equivalencia oficial múltiple: sin resolver,1010,311747,7341|7352,"7341 Sastres y modistos, costureras y confeccionadores de prendas de vestir || 7352 Peleteros, cortadores, curtidores y teñidores de cuero, piel y similares",NA,73,7
8154,2,Equivalencia oficial múltiple: sin resolver,432,103316,8154|8155,"8154 Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado || 8155 Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares",815,81,8
2531,2,Equivalencia oficial múltiple: sin resolver,286,89866,2512|2531,"2512 Auxiliares en contabilidad, economía, finanzas y agentes de bolsa || 2531 Auxiliares en ciencias sociales y humanistas",NA,25,2
2429,2,Equivalencia oficial múltiple: sin resolver,164,43224,2412|2427,"2412 Médicos especialistas || 2427 Fisioterapeutas, audiólogos y logopedas",NA,24,2
7342,2,Equivalencia oficial múltiple: sin resolver,150,53110,7342|7352,"7342 Artesanos y confeccionadores de productos textiles || 7352 Peleteros, cortadores, curtidores y teñidores de cuero, piel y similares",NA,73,7
5299,0,Sin equivalencia SINCO 2011,29,4987,,NA NA,NA,NA,NA
5319,0,Sin equivalencia SINCO 2011,16,2553,,NA NA,NA,NA,NA
9599,0,Sin equivalencia SINCO 2011,12,2671,,NA NA,NA,NA,NA
5119,0,Sin equivalencia SINCO 2011,9,1708,,NA NA,NA,NA,NA
7599,0,Sin equivalencia SINCO 2011,6,2268,,NA NA,NA,NA,NA
7199,0,Sin equivalencia SINCO 2011,4,1143,,NA NA,NA,NA,NA
1329,0,Sin equivalencia SINCO 2011,4,408,,NA NA,NA,NA,NA
5419,0,Sin equivalencia SINCO 2011,2,316,,NA NA,NA,NA,NA
7299,0,Sin equivalencia SINCO 2011,1,369,,NA NA,NA,NA,NA
1319,0,Sin equivalencia SINCO 2011,1,190,,NA NA,NA,NA,NA
