cmo,registros,con_dato,variable
5100,209,209,p4a2
5141,589,589,p4a2
8150,340,340,p4a2
2121,215,215,p4a2
1230,226,226,p4a2
6101,402,402,p4a2
1204,581,580,p4a2
2125,22,22,p4a2
7121,441,441,p4a2
6110,286,286,p4a2
7201,1551,1551,p4a2
1250,421,421,p4a2
6180,180,180,p4a2
6121,148,148,p4a2
4109,187,187,p4a2
4120,207,207,p4a2
5380,124,124,p4a2
5170,62,62,p4a2
4134,76,76,p4a2
4119,65,65,p4a2
4151,29,29,p4a2
8311,50,50,p4a2
2126,25,25,p4a2
4170,8,8,p4a2
8310,3,3,p4a2
4139,1,1,p4a2
5100,209,209,p4a3
5141,589,589,p4a3
8150,340,340,p4a3
2121,215,215,p4a3
1230,226,226,p4a3
6101,402,402,p4a3
1204,581,580,p4a3
2125,22,22,p4a3
7121,441,441,p4a3
6110,286,286,p4a3
7201,1551,1551,p4a3
1250,421,421,p4a3
6180,180,180,p4a3
6121,148,148,p4a3
4109,187,187,p4a3
4120,207,207,p4a3
5380,124,124,p4a3
5170,62,62,p4a3
4134,76,76,p4a3
4119,65,65,p4a3
4151,29,29,p4a3
8311,50,50,p4a3
2126,25,25,p4a3
4170,8,8,p4a3
8310,3,3,p4a3
4139,1,1,p4a3
5100,209,209,p4a
5141,589,589,p4a
8150,340,340,p4a
2121,215,215,p4a
1230,226,226,p4a
6101,402,402,p4a
1204,581,580,p4a
2125,22,22,p4a
7121,441,441,p4a
6110,286,286,p4a
7201,1551,1551,p4a
1250,421,421,p4a
6180,180,180,p4a
6121,148,148,p4a
4109,187,187,p4a
4120,207,207,p4a
5380,124,124,p4a
5170,62,62,p4a
4134,76,76,p4a
4119,65,65,p4a
4151,29,29,p4a
8311,50,50,p4a
2126,25,25,p4a
4170,8,8,p4a
8310,3,3,p4a
4139,1,1,p4a
5100,209,10,p4f
5141,589,0,p4f
8150,340,68,p4f
2121,215,0,p4f
1230,226,7,p4f
6101,402,0,p4f
1204,581,124,p4f
2125,22,0,p4f
7121,441,14,p4f
6110,286,0,p4f
7201,1551,1468,p4f
1250,421,11,p4f
6180,180,3,p4f
6121,148,0,p4f
4109,187,22,p4f
4120,207,1,p4f
5380,124,0,p4f
5170,62,4,p4f
4134,76,75,p4f
4119,65,2,p4f
4151,29,3,p4f
8311,50,0,p4f
2126,25,0,p4f
4170,8,0,p4f
8310,3,0,p4f
4139,1,1,p4f
5100,209,209,scian
5141,589,589,scian
8150,340,340,scian
2121,215,215,scian
1230,226,226,scian
6101,402,402,scian
1204,581,581,scian
2125,22,22,scian
7121,441,441,scian
6110,286,286,scian
7201,1551,1551,scian
1250,421,421,scian
6180,180,180,scian
6121,148,148,scian
4109,187,187,scian
4120,207,207,scian
5380,124,124,scian
5170,62,62,scian
4134,76,76,scian
4119,65,65,scian
4151,29,29,scian
8311,50,50,scian
2126,25,25,scian
4170,8,8,scian
8310,3,3,scian
4139,1,1,scian
5100,209,209,posicion
5141,589,589,posicion
8150,340,340,posicion
2121,215,215,posicion
1230,226,226,posicion
6101,402,402,posicion
1204,581,581,posicion
2125,22,22,posicion
7121,441,441,posicion
6110,286,286,posicion
7201,1551,1551,posicion
1250,421,421,posicion
6180,180,180,posicion
6121,148,148,posicion
4109,187,187,posicion
4120,207,207,posicion
5380,124,124,posicion
5170,62,62,posicion
4134,76,76,posicion
4119,65,65,posicion
4151,29,29,posicion
8311,50,50,posicion
2126,25,25,posicion
4170,8,8,posicion
8310,3,3,posicion
4139,1,1,posicion
5100,209,197,tamano
5141,589,564,tamano
8150,340,321,tamano
2121,215,176,tamano
1230,226,208,tamano
6101,402,402,tamano
1204,581,557,tamano
2125,22,0,tamano
7121,441,418,tamano
6110,286,286,tamano
7201,1551,1548,tamano
1250,421,406,tamano
6180,180,169,tamano
6121,148,148,tamano
4109,187,181,tamano
4120,207,205,tamano
