source_catalog,source_code,source_label,target_catalog,target_code,target_label,evidence_level
CMO,1100,Arquitectos y urbanistas,SINCO 2011,2263,"Arquitectos, planificadores urbanos y del transporte",tabla_comparativa_oficial_inegi
CMO,1101,Ingenieros civiles y de la construcción,SINCO 2011,2261,Ingenieros civiles y de la construcción,tabla_comparativa_oficial_inegi
CMO,1102,"Ingenieros en minas, metalurgia y petróleo",SINCO 2011,2254,"Ingenieros en minas, metalurgia y petróleo",tabla_comparativa_oficial_inegi
CMO,1103,"Ingenieros en topografía, hidrología, geología y geodesia",SINCO 2011,2262,"Ingenieros en topografía, hidrología, geología y geodesia",tabla_comparativa_oficial_inegi
CMO,1104,"Ingenieros químicos, industriales y mecánicos",SINCO 2011,2251,Ingenieros químicos,tabla_comparativa_oficial_inegi
CMO,1104,"Ingenieros químicos, industriales y mecánicos",SINCO 2011,2252,Ingenieros mecánicos,tabla_comparativa_oficial_inegi
CMO,1104,"Ingenieros químicos, industriales y mecánicos",SINCO 2011,2253,Ingenieros industriales,tabla_comparativa_oficial_inegi
CMO,1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",SINCO 2011,2241,Ingenieros eléctricos,tabla_comparativa_oficial_inegi
CMO,1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",SINCO 2011,2242,Ingenieros electrónicos,tabla_comparativa_oficial_inegi
CMO,1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",SINCO 2011,2271,Desarrolladores y analistas de software y multimedia,tabla_comparativa_oficial_inegi
CMO,1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",SINCO 2011,2272,Administradores de bases de datos y redes de computadora,tabla_comparativa_oficial_inegi
CMO,1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",SINCO 2011,2281,Ingenieros en comunicaciones y telecomunicaciones,tabla_comparativa_oficial_inegi
CMO,1106,Ingenieros biomédicos,SINCO 2011,2421,Ingenieros biomédicos,tabla_comparativa_oficial_inegi
CMO,1109,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1110,Físicos y astrónomos,SINCO 2011,2211,Investigadores y especialistas en física,tabla_comparativa_oficial_inegi
CMO,1111,"Matemáticos, estadísticos y actuarios",SINCO 2011,2212,"Investigadores y especialistas en matemáticas, estadística y actuaría",tabla_comparativa_oficial_inegi
CMO,1119,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1120,Químicos,SINCO 2011,2222,Químicos,tabla_comparativa_oficial_inegi
CMO,1121,Farmacólogos,SINCO 2011,2428,Farmacólogos,tabla_comparativa_oficial_inegi
CMO,1129,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1130,Médicos generales y especialistas,SINCO 2011,2411,Médicos generales y familiares,tabla_comparativa_oficial_inegi
CMO,1130,Médicos generales y especialistas,SINCO 2011,2412,Médicos especialistas,tabla_comparativa_oficial_inegi
CMO,1130,Médicos generales y especialistas,SINCO 2011,2425,Especialistas en medicina tradicional y alternativa,tabla_comparativa_oficial_inegi
CMO,1130,Médicos generales y especialistas,SINCO 2011,2427,"Fisioterapeutas, audiólogos y logopedas",tabla_comparativa_oficial_inegi
CMO,1131,Profesionistas en enfermería,SINCO 2011,2426,Enfermeras especialistas,tabla_comparativa_oficial_inegi
CMO,1132,Odontólogos,SINCO 2011,2413,Dentistas,tabla_comparativa_oficial_inegi
CMO,1133,Profesionistas en optometría,SINCO 2011,2422,Optometristas,tabla_comparativa_oficial_inegi
CMO,1134,Profesionistas en nutrición,SINCO 2011,2423,Nutriólogos,tabla_comparativa_oficial_inegi
CMO,1139,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este subgrupo,SINCO 2011,2424,Especialistas en seguridad e higiene y salud pública,tabla_comparativa_oficial_inegi
CMO,1140,Biólogos,SINCO 2011,2221,Biólogos y especialistas en ciencias del mar y oceanógrafos,tabla_comparativa_oficial_inegi
CMO,1141,Ecólogos y profesionistas en ciencias atmosféricas,SINCO 2011,2223,Ecólogos y especialistas en ciencias atmosféricas,tabla_comparativa_oficial_inegi
CMO,1142,Profesionistas en ciencias del mar y oceanógrafos,SINCO 2011,2221,Biólogos y especialistas en ciencias del mar y oceanógrafos,tabla_comparativa_oficial_inegi
CMO,1149,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1150,Agrónomos,SINCO 2011,2231,Agrónomos,tabla_comparativa_oficial_inegi
CMO,1151,Veterinarios y zootecnistas,SINCO 2011,2232,Veterinarios y zootecnistas,tabla_comparativa_oficial_inegi
CMO,1152,Profesionistas en forestación,SINCO 2011,2233,Especialistas en forestación,tabla_comparativa_oficial_inegi
CMO,1153,Profesionistas en pesca y en acuacultura,SINCO 2011,2234,Especialistas en pesca y en acuacultura,tabla_comparativa_oficial_inegi
CMO,1159,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1160,Abogados,SINCO 2011,2135,Abogados,tabla_comparativa_oficial_inegi
CMO,1161,Sociólogos y demógrafos,SINCO 2011,2132,Investigadores y especialistas en sociología y desarrollo social,tabla_comparativa_oficial_inegi
CMO,1161,Sociólogos y demógrafos,SINCO 2011,2143,Especialistas en trabajo social,tabla_comparativa_oficial_inegi
CMO,1162,Profesionistas en ciencias políticas y administración pública,SINCO 2011,2133,Investigadores y especialistas en ciencias políticas y administración pública,tabla_comparativa_oficial_inegi
CMO,1163,"Antropólogos, arqueólogos e historiadores",SINCO 2011,2131,"Antropólogos, arqueólogos e historiadores",tabla_comparativa_oficial_inegi
CMO,1164,Sicólogos (psicólogos),SINCO 2011,2142,Psicólogos,tabla_comparativa_oficial_inegi
CMO,1165,Profesionistas en filosofía y letras,SINCO 2011,2141,Investigadores y especialistas en filosofía y letras (filólogos),tabla_comparativa_oficial_inegi
CMO,1166,Pedagogos,SINCO 2011,2312,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas",tabla_comparativa_oficial_inegi
CMO,1167,Profesionistas en ciencias de la comunicación,SINCO 2011,2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",tabla_comparativa_oficial_inegi
CMO,1168,Geógrafos,SINCO 2011,2134,Geógrafos,tabla_comparativa_oficial_inegi
CMO,1169,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1170,Economistas,SINCO 2011,2123,"Economistas, consultores e investigadores en política económica",tabla_comparativa_oficial_inegi
CMO,1171,Administradores de empresas,SINCO 2011,2111,Administradores y especialistas en recursos humanos y sistemas de gestión,tabla_comparativa_oficial_inegi
CMO,1172,Contadores públicos,SINCO 2011,2121,Contadores y auditores,tabla_comparativa_oficial_inegi
CMO,1172,Contadores públicos,SINCO 2011,2122,Asesores y analistas en finanzas,tabla_comparativa_oficial_inegi
CMO,1173,Profesionistas en mercadotecnia,SINCO 2011,2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",tabla_comparativa_oficial_inegi
CMO,1174,"Profesionistas en archivo, biblioteconomía y museografía",SINCO 2011,2144,"Especialistas en archivonomía, biblioteconomía y museografía",tabla_comparativa_oficial_inegi
CMO,1175,Profesionistas en hotelería y turismo,SINCO 2011,2113,Especialistas en hotelería y turismo,tabla_comparativa_oficial_inegi
CMO,1179,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1180,Religiosos profesionistas,SINCO 2011,2145,"Sacerdotes, pastores y otros teólogos",tabla_comparativa_oficial_inegi
CMO,1190,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2991,Otros especialistas no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1200,Técnicos en dibujo,SINCO 2011,2625,Dibujantes técnicos,tabla_comparativa_oficial_inegi
CMO,1201,Técnicos en ingeniería civil y de la construcción,SINCO 2011,2624,Auxiliares y técnicos en construcción y arquitectura,tabla_comparativa_oficial_inegi
CMO,1202,"Técnicos en ingeniería en minas, metalurgia y petróleo",SINCO 2011,2623,"Auxiliares y técnicos mineros, metalúrgicos y petroleros",tabla_comparativa_oficial_inegi
CMO,1203,"Técnicos en ingeniería topográfica, hidrológica, geológica y geodésica",SINCO 2011,2622,"Auxiliares y técnicos topógrafos, en hidrología y geología",tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2621,Auxiliares y técnicos industriales y químicos,tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2631,Técnicos en mantenimiento y reparación de vehículos de motor,tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2635,Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales,tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2637,"Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado",tabla_comparativa_oficial_inegi
CMO,1204,"Técnicos en ingeniería química, industrial y mecánica",SINCO 2011,2645,Técnicos en reparación de equipos electromecánicos,tabla_comparativa_oficial_inegi
CMO,1205,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",SINCO 2011,2641,Técnicos eléctricos,tabla_comparativa_oficial_inegi
CMO,1205,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",SINCO 2011,2643,"Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)",tabla_comparativa_oficial_inegi
CMO,1205,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",SINCO 2011,2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",tabla_comparativa_oficial_inegi
CMO,1205,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",SINCO 2011,2652,Técnicos en operaciones de equipos de radio,tabla_comparativa_oficial_inegi
CMO,1206,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",SINCO 2011,2653,Auxiliares y técnicos de equipos de grabación y reproducción de video,tabla_comparativa_oficial_inegi
CMO,1206,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",SINCO 2011,2654,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación",tabla_comparativa_oficial_inegi
CMO,1206,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",SINCO 2011,2655,Fotógrafos,tabla_comparativa_oficial_inegi
CMO,1209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1210,Técnicos en física,SINCO 2011,2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",tabla_comparativa_oficial_inegi
CMO,1211,"Técnicos en matemáticas, estadística y actuaría",SINCO 2011,2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",tabla_comparativa_oficial_inegi
CMO,1219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2811,Enfermeras (técnicas),tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2817,Técnicos en medicina alternativa,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2821,Auxiliares en enfermería y paramédicos,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2823,Auxiliares hospitalarios y de medicina,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2824,Parteras,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2825,Técnicos en seguridad en el trabajo e higiene,tabla_comparativa_oficial_inegi
CMO,1220,Enfermeros y técnicos en medicina humana,SINCO 2011,2826,"Curanderos, hierberos y hueseros",tabla_comparativa_oficial_inegi
CMO,1221,Técnicos en odontología y mecánica dental,SINCO 2011,2815,Técnicos de prótesis médicas y dentales,tabla_comparativa_oficial_inegi
CMO,1221,Técnicos en odontología y mecánica dental,SINCO 2011,2822,Auxiliares y asistentes dentales,tabla_comparativa_oficial_inegi
CMO,1222,Técnicos en optometría y similares,SINCO 2011,2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",tabla_comparativa_oficial_inegi
CMO,1223,Técnicos nutriólogos y dietistas,SINCO 2011,2816,Técnicos dietistas y nutriólogos,tabla_comparativa_oficial_inegi
CMO,1229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2813,Técnicos de laboratorios médicos,tabla_comparativa_oficial_inegi
CMO,1230,Técnicos laboratoristas químicos y biólogos,SINCO 2011,2827,Fumigadores y controladores de plagas,tabla_comparativa_oficial_inegi
CMO,1231,Técnicos farmacéuticos,SINCO 2011,2814,Técnicos y asistentes farmacéuticos,tabla_comparativa_oficial_inegi
CMO,1232,Técnicos en ecología,SINCO 2011,2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",tabla_comparativa_oficial_inegi
CMO,1239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,SINCO 2011,2992,Otros técnicos no clasificados anteriormente,tabla_comparativa_oficial_inegi
CMO,1240,Técnicos en agronomía,SINCO 2011,2613,Auxiliares y técnicos en agronomía,tabla_comparativa_oficial_inegi
CMO,1241,Técnicos en veterinaria y zootecnia,SINCO 2011,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",tabla_comparativa_oficial_inegi
