"categoria_evidencia_egp13","regla_consenso_clase_egp13_damian","registros","poblacion","puente","anio","trim"
"clasificacion_base",,147034,42620142,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_5246",433,125561,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_8100",1456,387756,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1072",1508,454543,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0899",657,186122,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1056",3574,824847,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1026",1479,390004,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0939",362,87025,"CMO_SINCO2011",2012,2
"pendiente",,232,62700,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1046",117,38695,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1071",541,143163,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_2124",456,127106,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1052",735,201084,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0930",299,101620,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0914",664,166429,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0935",421,137177,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6260",174,54708,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_5400",255,63961,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6150",128,43527,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6160",612,171457,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0951",506,123190,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_2100",22,4550,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_2123",96,31195,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0937",264,60443,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1053",150,39167,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0898",318,89773,"CMO_SINCO2011",2012,2
"panel_semantico","ENOE_EGP_1204_P4A8112",188,51834,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0917",130,31305,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0929",134,35768,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_0925",152,30543,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_2125",141,33429,"CMO_SINCO2011",2012,2
"panel","CONSENSO_PANEL_1044",197,40424,"CMO_SINCO2011",2012,2
"panel","ENOE_EGP_7201_P4A4690_P4F2",571,123300,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6101",38,13103,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_4170",106,29736,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6110",67,18789,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6121",46,11550,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_6100",23,4046,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_5111",52,10227,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_2133",18,3798,"CMO_SINCO2011",2012,2
"consenso_oficial","RESCATE_EGP_5410",48,7842,"CMO_SINCO2011",2012,2
