cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
7201,46,3,3,433,119472,122419,TRUE,0.44503548080683913,TRUE,1,TRUE,214,219,0.4151826063064431,0.4767579445571332,1,1,FALSE,TRUE,TRUE,TRUE,p4a2,FALSE,TRUE,sin_mayoria_reciproca_estable
5141,33,2,7,113,29871,30439,TRUE,0.5365341092790171,TRUE,1,TRUE,59,54,0.5993274515475846,0.4745520736669284,1,1,TRUE,TRUE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
5141,33,2,8,48,8964,8771,TRUE,0.16100872938894278,FALSE,1,TRUE,24,24,0.16647382123228233,0.15561424798343923,1,1,FALSE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
7201,46,3,6,87,28620,28078,TRUE,0.10661004637648767,FALSE,1,TRUE,43,44,0.10191391365335531,0.11160028274632737,1,1,FALSE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
1204,33,2,1,5,1227,1227,TRUE,0.07920216886134779,FALSE,1,TRUE,2,3,0.04720194647201947,0.1422273337166954,1,1,FALSE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,muestra_insuficiente
1230,54,2,3,1,102,103,TRUE,0.07234042553191489,FALSE,1,TRUE,NA,1,NA,0.09156193895870736,NA,1,NA,FALSE,NA,TRUE,p4a2,FALSE,FALSE,muestra_insuficiente
1230,54,2,2,4,1308,1136,TRUE,0.9276595744680851,TRUE,1,TRUE,2,2,1,0.9084380610412927,1,1,TRUE,TRUE,TRUE,TRUE,p4a2,FALSE,TRUE,muestra_insuficiente
6101,61,1,1,32,9097,9144,TRUE,0.7134342404517293,TRUE,0.9858760107816712,TRUE,13,19,0.43425995492111197,0.9135586374040663,0.9862837548221175,0.9857389801210026,FALSE,TRUE,TRUE,TRUE,p4a2,FALSE,TRUE,sin_mayoria_reciproca_estable
1204,33,2,2,23,4533,4550,TRUE,0.2926026336173509,FALSE,1,TRUE,12,11,0.2620924574209246,0.35269311865056546,1,1,FALSE,TRUE,TRUE,TRUE,p4a2,FALSE,TRUE,sin_mayoria_reciproca_estable
6101,93,1,2,72,15935,17547,TRUE,0.5303711100016641,TRUE,1,TRUE,32,40,0.46776252792850304,0.575172728830012,1,1,TRUE,TRUE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
1230,61,2,2,4,1118,1147,TRUE,0.5771812080536913,TRUE,1,TRUE,2,2,1,0.4678362573099415,1,1,TRUE,FALSE,TRUE,TRUE,p4a2,FALSE,TRUE,muestra_insuficiente
7201,46,3,11,318,108046,108011,TRUE,0.40247341267624,FALSE,1,TRUE,158,160,0.4411401054207067,0.3613851496711537,1,1,TRUE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
5100,72,1,1,1,197,199,TRUE,0.07623839009287926,FALSE,1,TRUE,1,NA,0.1177525403466826,NA,1,NA,FALSE,NA,TRUE,NA,p4a2,FALSE,TRUE,muestra_insuficiente
2125,62,2,1,2,209,213,TRUE,1,TRUE,1,TRUE,NA,2,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a2,FALSE,FALSE,muestra_insuficiente
1204,33,2,8,25,8390,8492,TRUE,0.5415698424993545,TRUE,1,TRUE,17,8,0.6389294403892944,0.34981790300939236,1,1,TRUE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,sin_mayoria_reciproca_estable
8150,81,6,6,2,220,249,TRUE,0.12249443207126949,FALSE,1,TRUE,1,1,0.1276595744680851,0.11789473684210526,1,1,FALSE,FALSE,TRUE,TRUE,p4a2,FALSE,TRUE,muestra_insuficiente
6101,61,1,2,7,610,731,TRUE,0.04783938514626304,FALSE,0.41581342434584756,FALSE,6,1,0.0978587528174305,0.011983304160495489,0.3849502487562189,0.7466666666666667,FALSE,FALSE,FALSE,TRUE,p4a2,FALSE,FALSE,muestra_insuficiente
5141,33,2,10,8,3108,3139,TRUE,0.055824981140209076,FALSE,1,TRUE,1,7,0.003073474110500434,0.10789492469126989,1,1,FALSE,FALSE,TRUE,TRUE,p4a2,FALSE,FALSE,muestra_insuficiente
2121,46,2,2,2,284,290,TRUE,0.5378787878787878,TRUE,0.47854785478547857,FALSE,1,1,0.5205992509363296,0.5555555555555556,1,0.3174946004319654,TRUE,TRUE,TRUE,FALSE,p4a2,FALSE,TRUE,muestra_insuficiente
6180,56,2,2,3,465,475,TRUE,1,TRUE,1,TRUE,1,2,1,1,1,1,TRUE,TRUE,TRUE,TRUE,p4a2,FALSE,TRUE,muestra_insuficiente
