cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
5246,grupo_ocu9_damian,2,2,140,40888,41070,TRUE,0.6906406769927199,TRUE,1,TRUE,67,73,0.722883183747304,0.660209475654201,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
7111,grupo_ocu9_damian,4,4,1944,521994,524076,TRUE,0.8162201380397357,TRUE,1,TRUE,985,959,0.8387061724818006,0.7958827540819577,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5345,grupo_ocu9_damian,8,8,338,101312,105252,TRUE,0.852787434449205,TRUE,1,TRUE,172,166,0.8589420276802066,0.8449303412988904,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8200,grupo_ocu9_damian,5,9,2223,640422,636728,TRUE,0.9636550221494607,TRUE,1,TRUE,1128,1095,0.9680418221111473,0.9592940216282392,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
8100,grupo_ocu9_damian,5,9,168,48335,48201,TRUE,0.24809317031607692,FALSE,1,TRUE,91,77,0.25563276046377764,0.24057290491910846,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5241,grupo_ocu9_damian,7,7,53,13806,14226,TRUE,0.531551996303854,TRUE,1,TRUE,26,27,0.5797225021316177,0.48401162790697677,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
5200,grupo_ocu9_damian,7,7,137,53979,53222,TRUE,0.8626564173045882,TRUE,1,TRUE,70,67,0.8691617779783394,0.8541505328760556,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1220,grupo_ocu9_damian,2,2,406,125248,125820,TRUE,0.9505695919126297,TRUE,1,TRUE,213,193,0.9491919754806353,0.9522182024307697,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1105,grupo_ocu9_damian,2,2,158,42583,43389,TRUE,0.8139419309211156,TRUE,1,TRUE,83,75,0.7052465759418894,0.898248710290524,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8124,grupo_ocu9_damian,9,9,873,218168,220793,TRUE,0.8127768484816875,TRUE,1,TRUE,441,432,0.8094265230272829,0.816049964647655,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
