auxiliary_type,source_code,auxiliary_value,target_code,pair_n,train_pair_n,validation_pair_n,forward_share,reverse_share,train_forward_share,validation_forward_share,train_reverse_share,validation_reverse_share,pooled_reciprocal,pooled_majority,split_sample,split_reciprocal,split_majority,passes,screen_result
p4a_key,1230,2122,2612,1,1,,0.5081632653061224,1,0.5081632653061224,,1,,TRUE,TRUE,FALSE,,,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,3130,2813,1,,1,1,1,,1,,1,TRUE,TRUE,FALSE,,,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,3250,2612,1,,1,0.20698254364089774,1,,0.20698254364089774,,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
p4a_key,1230,5411,2612,2,1,1,0.2,1,1,0.09156193895870736,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
p4a_key,1230,5613,2827,6,3,3,1,0.7955736750145603,1,1,1,0.743608473338203,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,6132,2612,2,1,1,0.5356415478615071,1,0.4271356783919598,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,6211,2813,5,4,1,0.8102189781021898,0.9650468883205456,1,0.3384223918575064,0.9604628736740598,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,6212,2813,1,1,,0.9559286463798531,1,0.9559286463798531,,1,,TRUE,TRUE,FALSE,,,FALSE,fewer_than_5_pairs_in_train_or_validation
p4a_key,1230,6221,2813,1,,1,0.31413612565445026,1,,1,,1,FALSE,FALSE,FALSE,,,FALSE,not_reciprocal_unique_mode
p4a_key,1230,6222,2813,9,4,5,0.49859227028410547,1,0.795906432748538,0.26718252162039147,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_strict_majority_pooled
p4a_key,1230,6222,2612,1,1,,0.041975940619401075,0.8461538461538461,0.09590643274853801,,0.8461538461538461,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
p4a_key,1230,9312,2827,1,,1,0.4144736842105263,0.17333333333333334,,0.6450511945392492,,0.7679324894514767,FALSE,FALSE,FALSE,,,FALSE,not_reciprocal_unique_mode
p4a_key,1230,9312,2612,1,1,,0.3574561403508772,0.14828209764918626,1,,1,,FALSE,FALSE,FALSE,,,FALSE,not_reciprocal_unique_mode
p4a_key,1230,9313,2813,2,1,1,0.2961038961038961,1,0.25245441795231416,0.3217821782178218,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,not_strict_majority_pooled
p4a_key,1230,9313,2827,2,1,1,0.2109090909090909,0.23853211009174313,0.08415147265077139,0.2854785478547855,0.04675963904840033,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
p4a_p4f,1230,5613|8,2827,3,1,2,1,1,1,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,fewer_than_5_pairs_in_train_or_validation
p4f_key,1230,8,2827,3,1,2,1,1,1,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,fewer_than_5_pairs_in_train_or_validation
scian_key,1230,12,2612,2,1,1,0.1794326241134752,1,0.5101351351351351,0.09156193895870736,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
scian_key,1230,14,2827,6,3,3,1,0.7955736750145603,1,1,1,0.743608473338203,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,fewer_than_5_pairs_in_train_or_validation
scian_key,1230,15,2612,2,1,1,0.1357769747031492,1,0.4271356783919598,0.06042884990253411,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
scian_key,1230,16,2813,16,9,7,0.6274723563307896,0.9901014002897152,0.8615751789976134,0.2943396226415094,0.987779433681073,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,not_strict_majority_in_all_splits
scian_key,1230,16,2612,1,1,,0.02554119296059804,0.8461538461538461,0.04348979050649695,,0.8461538461538461,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
scian_key,1230,2,2612,1,1,,0.5081632653061224,1,0.5081632653061224,,1,,TRUE,TRUE,FALSE,,,FALSE,fewer_than_5_pairs_in_train_or_validation
scian_key,1230,20,2827,3,1,2,0.23838141025641027,0.21195652173913043,0.060544904137235116,0.3554817275747508,0.028051181102362203,0.8988970588235294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
scian_key,1230,20,2813,2,1,1,0.2283653846153846,1,0.18163471241170534,0.2591362126245847,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
scian_key,1230,20,2612,1,1,,0.06530448717948718,0.13816343723673125,0.16448032290615539,,0.6693877551020408,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not_reciprocal_unique_mode
