"salida","metodo","registros","poblacion","puente","anio","trim"
"grupo_ocu9_damian","puente_general",170325,48766853,"CMO_SINCO2011",2012,2
"isco88_damian","puente_general",146531,42500652,"CMO_SINCO2011",2012,2
"isco88_damian","pendiente",19755,5119924,"CMO_SINCO2011",2012,2
"isco88_damian","consenso_clasificaciones_panel",4039,1146277,"CMO_SINCO2011",2012,2
"clase_ocu_damian","puente_general",170325,48766853,"CMO_SINCO2011",2012,2
"calificada_damian","puente_general",170325,48766853,"CMO_SINCO2011",2012,2
"manual_damian","puente_general",170325,48766853,"CMO_SINCO2011",2012,2
"supervisa_damian","puente_general",146956,42599308,"CMO_SINCO2011",2012,2
"supervisa_damian","consenso_clasificaciones_panel",22044,5821772,"CMO_SINCO2011",2012,2
"supervisa_damian","pendiente",1325,345773,"CMO_SINCO2011",2012,2
"clase_egp13_damian","puente_general",147034,42620142,"CMO_SINCO2011",2012,2
"clase_egp13_damian","rescate_original_consenso_oficial",4308,1177766,"CMO_SINCO2011",2012,2
"clase_egp13_damian","consenso_clasificaciones_panel",12303,3206889,"CMO_SINCO2011",2012,2
"clase_egp13_damian","pendiente",232,62700,"CMO_SINCO2011",2012,2
"clase_egp13_damian","regla_enoe",759,175134,"CMO_SINCO2011",2012,2
"clase_egp7_damian","puente_general",147034,42620142,"CMO_SINCO2011",2012,2
"clase_egp7_damian","rescate_original_consenso_oficial",3039,821129,"CMO_SINCO2011",2012,2
"clase_egp7_damian","consenso_clasificaciones_panel",15268,3977462,"CMO_SINCO2011",2012,2
"clase_egp7_damian","pendiente",4225,1172986,"CMO_SINCO2011",2012,2
"clase_egp7_damian","regla_enoe",759,175134,"CMO_SINCO2011",2012,2
"clase_alt6_damian","puente_general",147034,42620142,"CMO_SINCO2011",2012,2
"clase_alt6_damian","rescate_original_consenso_oficial",2707,724798,"CMO_SINCO2011",2012,2
"clase_alt6_damian","consenso_clasificaciones_panel",15683,4072872,"CMO_SINCO2011",2012,2
"clase_alt6_damian","pendiente",4142,1173907,"CMO_SINCO2011",2012,2
"clase_alt6_damian","regla_enoe",759,175134,"CMO_SINCO2011",2012,2
"macro_egp4_damian","puente_general",147034,42620142,"CMO_SINCO2011",2012,2
"macro_egp4_damian","consenso_clasificaciones_panel",18917,4949648,"CMO_SINCO2011",2012,2
"macro_egp4_damian","pendiente",3038,837773,"CMO_SINCO2011",2012,2
