cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason,rule_id,family,scope,conceptual_basis
1100,alta_damian,1,1,49,12594,13194,TRUE,0.9126748315095297,TRUE,1,TRUE,22,27,0.9337115970107943,0.8895481515289821,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0001,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1101,alta_damian,1,1,40,6231,6176,TRUE,0.6275556450800684,TRUE,1,TRUE,17,23,0.5625846391952022,0.698109243697479,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0002,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1103,alta_damian,1,1,12,2549,2552,TRUE,1,TRUE,1,TRUE,6,6,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0003,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1104,alta_damian,1,1,74,19562,19704,TRUE,0.7390253116735928,TRUE,1,TRUE,42,32,0.8131393861892583,0.6725891961599083,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0004,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1105,alta_damian,1,1,171,44004,44980,TRUE,0.8411032742703136,TRUE,1,TRUE,91,80,0.7913621843959218,0.8796836817811566,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0005,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1120,alta_damian,1,1,43,10381,10088,TRUE,0.9347199711867459,TRUE,1,TRUE,18,25,1,0.88631017719931,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0006,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1121,alta_damian,1,1,28,7418,7203,TRUE,0.9393440547043181,TRUE,1,TRUE,15,13,1,0.8401735068401736,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0007,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1130,alta_damian,1,1,366,84867,87176,TRUE,0.9941312904132696,TRUE,1,TRUE,172,194,0.9935184135977337,0.9947869941565841,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0008,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1131,alta_damian,1,1,254,56833,57769,TRUE,0.9976302485605955,TRUE,1,TRUE,126,128,0.9978954127131341,0.9973733324116956,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0009,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1132,alta_damian,1,1,123,33731,33542,TRUE,0.9972209903917221,TRUE,1,TRUE,61,62,1,0.9941975308641975,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0010,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1134,alta_damian,1,1,16,5260,5340,TRUE,0.9872372372372372,TRUE,1,TRUE,11,5,0.9425190194420964,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0011,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1150,alta_damian,1,1,27,3837,3881,TRUE,0.8931564245810056,TRUE,1,TRUE,14,13,0.8890027322404371,0.902046783625731,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0012,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1151,alta_damian,1,1,35,9220,9329,TRUE,0.933765444601985,TRUE,1,TRUE,18,17,0.9401955146635997,0.9265621644835731,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0013,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1160,alta_damian,1,1,323,82784,84710,TRUE,0.8748362007016951,TRUE,1,TRUE,164,159,0.8711762256894193,0.8790141896938013,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0014,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1161,alta_damian,1,1,31,7257,7310,TRUE,0.9544916480336709,TRUE,1,TRUE,17,14,0.9520975056689343,0.9565644171779141,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0015,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1164,alta_damian,1,1,67,21000,19475,TRUE,0.9288747346072187,TRUE,1,TRUE,33,34,0.9361381389612169,0.9156476166708261,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0016,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1171,alta_damian,1,1,25,13372,13432,TRUE,0.8002393776181927,TRUE,1,TRUE,15,10,0.8184127540294324,0.7610502455610124,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0017,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1172,alta_damian,1,1,359,82325,82314,TRUE,0.8651764508060618,TRUE,1,TRUE,195,164,0.8537888398520557,0.8814402735601092,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0018,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1200,alta_damian,1,1,29,8535,8595,TRUE,0.8389030862984077,TRUE,1,TRUE,16,13,0.8497571131158917,0.8247165532879819,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0019,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1203,alta_damian,1,1,26,4317,4545,TRUE,0.6866550023858756,TRUE,1,TRUE,13,13,0.687624254473161,0.684931506849315,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0020,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1205,alta_damian,1,1,276,71988,71382,TRUE,0.7477252897918485,TRUE,1,TRUE,134,142,0.7872588021975048,0.7231015592077539,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0021,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1206,alta_damian,0,0,68,17080,17357,TRUE,0.9020332717190388,TRUE,1,TRUE,39,29,0.981875,0.819925013390466,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0022,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1220,alta_damian,1,1,400,123646,124108,TRUE,0.938411214243972,TRUE,1,TRUE,210,190,0.9358317079966565,0.941498141078008,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0023,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1221,alta_damian,1,1,24,5553,5645,TRUE,0.818905766111193,TRUE,1,TRUE,15,9,0.8662264612374664,0.7470282317979198,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0024,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1230,alta_damian,1,1,50,11465,11590,TRUE,0.7057990642698843,TRUE,1,TRUE,27,23,0.8464583048996861,0.5902209263205114,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0025,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1250,alta_damian,0,0,99,17149,17170,TRUE,0.5584538231079849,TRUE,1,TRUE,57,42,0.5561128526645768,0.5623271092669433,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0026,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1251,alta_damian,1,1,191,56535,56891,TRUE,0.5850183157764026,TRUE,1,TRUE,98,93,0.5408525208619523,0.6300219366969602,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0027,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1252,alta_damian,0,0,42,7706,7519,TRUE,0.7368521705871104,TRUE,1,TRUE,16,26,0.6103896103896104,0.822914992768761,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0028,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1300,alta_damian,1,1,337,81624,80800,TRUE,0.9920633956026593,TRUE,1,TRUE,172,165,0.9951440329218108,0.9896131101752242,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0029,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1310,alta_damian,1,1,205,56119,56633,TRUE,0.9289533363129231,TRUE,1,TRUE,114,91,0.9255344775669979,0.933127458549318,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0030,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1320,alta_damian,1,1,449,125353,124182,TRUE,0.9828447322821681,TRUE,1,TRUE,199,250,0.9744231835299065,0.9887010155793056,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0031,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1330,alta_damian,1,1,730,198218,198565,TRUE,0.9966713596138375,TRUE,1,TRUE,342,388,0.9975169834035601,0.9959281233466858,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0032,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1340,alta_damian,1,1,263,69777,71371,TRUE,0.9560457628279784,TRUE,1,TRUE,139,124,0.9398206706580093,0.9714766894781864,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0033,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1360,alta_damian,1,1,25,9877,9547,TRUE,1,TRUE,1,TRUE,18,7,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0034,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1364,alta_damian,1,1,33,7560,7532,TRUE,0.9020403293163107,TRUE,1,TRUE,14,19,0.8401336196611787,0.9639618138424821,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0035,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1390,alta_damian,1,1,32,4289,4395,TRUE,0.960152227445713,TRUE,1,TRUE,19,13,0.9839921594250245,0.9082503556187767,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0036,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1401,alta_damian,1,1,29,8751,9659,TRUE,0.9098565190268247,TRUE,1,TRUE,12,17,0.8632445141065831,0.962560921577315,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0037,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1412,alta_damian,1,1,74,17343,18402,TRUE,0.9274827530884004,TRUE,1,TRUE,33,41,1,0.8738839285714286,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0038,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1420,alta_damian,1,1,17,3308,3104,TRUE,0.957452966714906,TRUE,1,TRUE,11,6,0.8799019607843137,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0039,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
1423,alta_damian,0,0,77,23239,23377,TRUE,0.8383477633477634,TRUE,0.9852488725924052,TRUE,44,33,0.7886965044103235,0.8995569875151027,0.9721492798599507,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0040,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2101,alta_damian,1,1,23,6374,6261,TRUE,0.8538513060951105,TRUE,1,TRUE,9,14,0.832823259372609,0.865182436611008,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0041,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2110,alta_damian,1,1,19,3080,2937,TRUE,0.8997955010224948,TRUE,1,TRUE,8,11,0.8998555609051516,0.899702823179792,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0042,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2111,alta_damian,1,1,32,9315,9169,TRUE,0.8202712222613596,TRUE,1,TRUE,20,12,0.8608292621821371,0.7242810554402609,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0043,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2120,alta_damian,1,1,13,2029,1990,TRUE,0.7741320106829455,TRUE,1,TRUE,5,8,0.7118863049095607,0.863932898415657,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0044,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2121,alta_damian,1,1,140,41504,42702,TRUE,0.8110368546527533,TRUE,1,TRUE,72,68,0.8490454924669971,0.78588823586713,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0045,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2123,alta_damian,1,1,18,7195,6821,TRUE,0.9400313561536452,TRUE,1,TRUE,9,9,0.9459616502033701,0.9351851851851852,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0046,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2124,alta_damian,1,1,77,24068,24470,TRUE,0.8040624060401563,TRUE,1,TRUE,40,37,0.7604166666666666,0.8531185695025899,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0047,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2125,alta_damian,1,1,128,36350,34478,TRUE,0.9832296456586421,TRUE,1,TRUE,69,59,0.9789419619928095,0.9891339291455025,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0048,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
2127,alta_damian,1,1,61,11924,11384,TRUE,0.7349605522682445,TRUE,1,TRUE,27,34,0.7495152690256908,0.7198946312092324,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0049,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4100,alta_damian,0,0,2770,1183509,1193144,TRUE,0.999705201130541,TRUE,1,TRUE,1385,1385,1,0.9994232663286687,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0050,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4101,alta_damian,0,0,70,22356,22461,TRUE,0.9906061680255228,TRUE,1,TRUE,37,33,0.9801739455718694,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0051,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4103,alta_damian,0,0,355,105047,105151,TRUE,0.9868942710584168,TRUE,1,TRUE,171,184,0.9908171843676575,0.9838637158415346,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0052,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4104,alta_damian,0,0,143,104293,104552,TRUE,1,TRUE,1,TRUE,102,41,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0053,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4106,alta_damian,0,0,316,96126,96208,TRUE,0.9969301611665388,TRUE,1,TRUE,179,137,1,0.9937470953567958,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0054,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4107,alta_damian,0,0,43,23870,23538,TRUE,1,TRUE,1,TRUE,15,28,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0055,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4108,alta_damian,0,0,152,58324,59197,TRUE,1,TRUE,1,TRUE,56,96,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0056,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4109,alta_damian,0,0,46,9104,9131,TRUE,1,TRUE,1,TRUE,21,25,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0057,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4110,alta_damian,0,0,299,84192,84548,TRUE,0.9857393747804707,TRUE,1,TRUE,187,112,0.9850838803792852,0.9869152764147857,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0058,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4111,alta_damian,0,0,30,10958,10819,TRUE,1,TRUE,1,TRUE,20,10,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0059,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4112,alta_damian,0,0,54,13794,13822,TRUE,0.9947357034686666,TRUE,1,TRUE,19,35,1,0.9883979656706929,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0060,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4113,alta_damian,0,0,67,21901,21987,TRUE,1,TRUE,1,TRUE,36,31,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0061,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4120,alta_damian,0,0,201,48811,48618,TRUE,1,TRUE,1,TRUE,129,72,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0062,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4132,alta_damian,0,0,36,8233,8274,TRUE,1,TRUE,1,TRUE,26,10,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0063,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4135,alta_damian,0,0,18,5040,5124,TRUE,1,TRUE,1,TRUE,11,7,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0064,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4150,alta_damian,0,0,138,32548,32907,TRUE,0.9948040833791797,TRUE,1,TRUE,72,66,1,0.9862403885066775,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0065,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
4170,alta_damian,0,0,24,5501,5575,TRUE,0.9315834038950043,TRUE,1,TRUE,13,11,0.8985969387755102,0.9689418562657999,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0066,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5101,alta_damian,0,0,29,10850,10749,TRUE,0.8307174029553633,TRUE,1,TRUE,16,13,0.8333512410013968,0.8241875332978157,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0067,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5121,alta_damian,0,0,47,9589,9628,TRUE,0.9823788546255506,TRUE,1,TRUE,29,18,1,0.9584641390968365,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0068,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5131,alta_damian,0,0,18,5521,5552,TRUE,0.7699065681216009,TRUE,1,TRUE,8,10,1,0.6319428953825563,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0069,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5151,alta_damian,0,0,12,3957,3883,TRUE,1,TRUE,1,TRUE,5,7,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0070,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5161,alta_damian,0,0,45,10042,9513,TRUE,0.5986645999761536,TRUE,1,TRUE,19,26,0.6439084944139032,0.5757521329142344,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0071,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
5200,alta_damian,0,0,158,58491,57882,TRUE,1,TRUE,1,TRUE,81,77,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel,CONSENSO_PANEL_0072,egp,consenso_clasificaciones_panel_ENOE,Misma categoria en ambas mediciones; destino historico oficial; empleo continuo
