priority,rule_id,rule_type,source_code,target_code,scian_value,p4a_prefix,p4a_value,p4f_value,rule_label,scope,requires_enoe_auxiliary,target_3d,application_variables,decision_status,evidence_level,decision_layer,pair_n,train_pair_n,validation_pair_n,forward_share,reverse_share,train_forward_share,validation_forward_share,train_reverse_share,validation_reverse_share,accepted_on,evidence_source
20,CMO2012_SINCO2011_GLOBAL_1130,panel_global,1130,2411,,,,,CMO 1130 -> SINCO 2411,validacion_panel_ENOE,FALSE,241,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,229,111,118,0.5866197183098592,0.9706386305790761,0.573512181326007,0.6000041255827385,0.9507023588656242,0.9907447626048315,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1161,panel_global,1161,2143,,,,,CMO 1161 -> SINCO 2143,validacion_panel_ENOE,FALSE,214,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,30,16,14,0.8484848484848485,0.7023495943525445,0.903899721448468,0.8007202881152461,0.6051151822963904,0.8371040723981901,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1172,panel_global,1172,2121,,,,,CMO 1172 -> SINCO 2121,validacion_panel_ENOE,FALSE,212,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,323,176,147,0.7143963281526952,0.7720500206239499,0.715393433748368,0.7129854915742994,0.7651323870615532,0.7819924968736974,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1206,panel_global,1206,2655,,,,,CMO 1206 -> SINCO 2655,validacion_panel_ENOE,FALSE,265,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,41,21,20,0.5429058628817894,0.944966790304494,0.5825398416357622,0.5032122063842602,0.9557207498383969,0.9326549491211841,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1220,panel_global,1220,2811,,,,,CMO 1220 -> SINCO 2811,validacion_panel_ENOE,FALSE,281,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,284,150,134,0.6681570844054499,0.8948676431825884,0.7165335114444987,0.6096632912965149,0.9166983078827899,0.8659014741638008,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1401,panel_global,1401,2152,,,,,CMO 1401 -> SINCO 2152,validacion_panel_ENOE,FALSE,215,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,26,12,14,0.7204030226700252,0.7941926087748042,0.8207054212932724,0.5867247007616975,0.7945323741007194,0.793607532210109,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_1420,panel_global,1420,2161,,,,,CMO 1420 -> SINCO 2161,validacion_panel_ENOE,FALSE,216,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,13,8,5,0.847178002894356,1,0.6086601307189542,0.9780367548184671,1,1,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_4150,panel_global,4150,6211,,,,,CMO 4150 -> SINCO 6211,validacion_panel_ENOE,FALSE,621,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,135,71,64,0.8460484239378712,0.9213967002179101,0.8582735409423774,0.8233353947639662,0.9109386693977233,0.941569789529671,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_5230,panel_global,5230,7311,,,,,CMO 5230 -> SINCO 7311,validacion_panel_ENOE,FALSE,731,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,183,103,80,0.7717190388170055,0.757788674682609,0.8439023091059206,0.6941654505393882,0.8303977272727273,0.6790704185916282,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_6210,panel_global,6210,3121,,,,,CMO 6210 -> SINCO 3121,validacion_panel_ENOE,FALSE,312,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,279,147,132,0.5566281392694064,0.6398828086531202,0.5434125634285875,0.5702508077719982,0.6903122413398376,0.5958751479199004,2026-09-12,Panel ENOE 2012-T2/T3
