p3coe,pos_ocu,emple7c,p4a,sinco_original,egp_original,egp_oficial,revision,registros,poblacion,cmo_label,destinos,etiquetas_destinos
8100,1,2,7221,5112,4,4,original_coincide_con_consenso_oficial,743,198194,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,"5112 Fonderos, vendedores y comerciantes de comida || 5114 Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera"
8100,4,2,7221,5112,4,4,original_coincide_con_consenso_oficial,422,125352,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,"5112 Fonderos, vendedores y comerciantes de comida || 5114 Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera"
7201,3,1,4690,4224,3,NA,requiere_revision_semantica,550,121577,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
7201,3,1,4652,4224,3,NA,requiere_revision_semantica,269,70113,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
5141,1,6,3360,2630,2,NA,requiere_revision_semantica,272,64047,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
7201,3,1,4662,4224,3,NA,requiere_revision_semantica,144,63133,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
6101,1,6,9313,1523,1,NA,requiere_revision_semantica,166,30778,"Jefes de departamento, coordinadores y supervisores en servicios de educación",1523|2311,1523 Coordinadores y jefes de área en centros de enseñanza y capacitación || 2311 Supervisores e inspectores educativos
8100,1,3,7221,5112,4,4,original_coincide_con_consenso_oficial,144,30634,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,"5112 Fonderos, vendedores y comerciantes de comida || 5114 Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera"
4120,4,2,1110,6131,13,NA,requiere_revision_semantica,117,27156,Trabajadores que combinan actividades agrícolas con ganaderas,6131|9113,6131 Trabajadores que combinan actividades agrícolas con ganaderas || 9113 Trabajadores de apoyo que realizan actividades agrícolas y ganaderas
1204,3,1,8112,2621,2,NA,requiere_revision_semantica,80,26578,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
