cmo,sinco4d,destino,pos_ocu,emple7c,isco88_damian,clase_egp13_damian
1204,2621,Auxiliares y técnicos industriales y químicos,1,1,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,2,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,3,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,4,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,5,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,6,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,1,7,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,2,1,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,2,2,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,2,3,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,2,4,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,2,5,3116,1
1204,2621,Auxiliares y técnicos industriales y químicos,2,6,3116,1
1204,2621,Auxiliares y técnicos industriales y químicos,2,7,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,1,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,2,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,3,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,4,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,5,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,6,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,3,7,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,1,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,2,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,3,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,4,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,5,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,6,3116,2
1204,2621,Auxiliares y técnicos industriales y químicos,4,7,3116,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,1,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,2,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,3,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,4,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,5,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,6,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,1,7,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,1,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,2,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,3,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,4,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,5,3115,1
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,6,3115,1
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,2,7,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,1,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,2,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,3,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,4,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,5,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,6,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,3,7,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,1,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,2,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,3,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,4,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,5,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,6,3115,2
1204,2631,Técnicos en mantenimiento y reparación de vehículos de motor,4,7,3115,2
1204,2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,1,1,3115,2
1204,2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,1,2,3115,2
1204,2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,1,3,3115,2
