"cmo","egp13_propuesto","metodo","regla","registros","poblacion"
7201,3,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_7201",980,288199
5141,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5141",589,162091
1250,3,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_1250",421,98103
6101,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_6101",402,79900
1204,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_1204",393,101505
6110,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_6110",286,79047
7121,9,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_7121",266,68987
8150,4,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_8150",258,72406
1230,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_1230",226,57892
2121,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_2121",215,46563
4120,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4120",207,47014
7121,8,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_7121",173,47533
4109,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4109",163,34923
6121,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_6121",148,52344
6180,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_6180",137,37671
5100,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5100",114,33685
5380,8,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5380",101,43008
5100,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5100",95,31519
8150,6,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_8150",70,24122
4119,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4119",64,17446
4134,12,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4134",58,16620
5170,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5170",50,13336
8311,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_8311",50,8655
6180,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_6180",43,12314
2126,1,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_2126",25,4548
4151,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4151",25,10107
4109,12,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4109",24,8520
5380,9,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5380",23,4927
2125,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_2125",22,4496
4134,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4134",18,4531
5170,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_5170",12,4074
8150,5,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_8150",12,2343
4170,12,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4170",8,2653
4151,12,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4151",4,384
8310,2,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_8310",3,292
7121,6,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_7121",2,602
4119,12,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4119",1,1459
4139,13,"legado_damian_no_validado","LEGADO_DAMIAN_EGP_4139",1,403
