classification,split,cmo,old_value,new_value,n,population
grupo_ocu9_damian,validation,5246,2,2,73,20108
grupo_ocu9_damian,validation,7111,4,4,959,267263
grupo_ocu9_damian,validation,5345,8,8,166,44091
grupo_ocu9_damian,validation,8200,5,9,1095,319702
grupo_ocu9_damian,validation,8100,5,9,77,23465
grupo_ocu9_damian,validation,5241,7,7,27,6327
grupo_ocu9_damian,validation,5200,7,7,67,23162
grupo_ocu9_damian,validation,1220,2,2,193,57115
grupo_ocu9_damian,validation,1105,2,2,75,26466
grupo_ocu9_damian,validation,8124,9,9,432,110800
grupo_ocu9_damian,validation,8111,9,9,19,7260
grupo_ocu9_damian,validation,5400,9,3,4,493
grupo_ocu9_damian,validation,5322,8,8,110,28395
grupo_ocu9_damian,validation,7100,4,4,688,216733
grupo_ocu9_damian,validation,1252,2,3,10,1358
grupo_ocu9_damian,train,8200,5,9,1128,320720
grupo_ocu9_damian,train,1330,2,2,339,92109
grupo_ocu9_damian,train,8100,5,5,277,69022
grupo_ocu9_damian,train,1160,2,2,161,45031
grupo_ocu9_damian,train,6200,3,3,448,109226
grupo_ocu9_damian,train,7201,4,4,271,76006
grupo_ocu9_damian,train,6270,3,3,400,81009
grupo_ocu9_damian,train,7100,4,4,682,211092
grupo_ocu9_damian,train,1300,2,2,168,35274
grupo_ocu9_damian,validation,5141,2,8,75,16711
grupo_ocu9_damian,validation,1330,2,2,378,102387
grupo_ocu9_damian,validation,5344,8,8,112,25096
grupo_ocu9_damian,validation,5303,8,4,1,134
grupo_ocu9_damian,validation,5321,8,8,10,6877
grupo_ocu9_damian,train,7210,9,4,49,15800
grupo_ocu9_damian,train,5208,5,8,1,115
grupo_ocu9_damian,train,1105,2,2,83,16117
grupo_ocu9_damian,train,5262,7,7,9,2262
grupo_ocu9_damian,train,5141,2,8,77,19697
grupo_ocu9_damian,train,5345,8,8,172,57221
grupo_ocu9_damian,train,8100,5,9,91,24870
grupo_ocu9_damian,train,5520,8,8,580,177301
grupo_ocu9_damian,train,8122,9,4,2,164
grupo_ocu9_damian,validation,6221,3,3,109,33057
grupo_ocu9_damian,validation,1205,2,2,157,50811
grupo_ocu9_damian,validation,5101,7,9,3,788
grupo_ocu9_damian,validation,8301,1,5,223,53841
grupo_ocu9_damian,validation,1251,2,2,84,28314
grupo_ocu9_damian,validation,5343,8,8,91,18364
grupo_ocu9_damian,validation,6200,3,3,491,110658
grupo_ocu9_damian,validation,8100,5,5,267,70761
grupo_ocu9_damian,validation,7210,9,9,261,82946
grupo_ocu9_damian,validation,8130,5,5,196,51075
grupo_ocu9_damian,train,5340,8,8,8,878
grupo_ocu9_damian,train,5440,9,2,30,12290
grupo_ocu9_damian,train,6210,3,3,172,47190
grupo_ocu9_damian,train,5245,2,2,172,45610
grupo_ocu9_damian,validation,6202,3,2,21,4439
grupo_ocu9_damian,validation,5120,1,8,6,733
grupo_ocu9_damian,validation,5261,7,7,67,13083
grupo_ocu9_damian,validation,7201,4,4,277,81292
grupo_ocu9_damian,validation,5227,7,7,36,11923
grupo_ocu9_damian,validation,5225,7,7,9,1816
grupo_ocu9_damian,validation,5421,9,9,4,477
grupo_ocu9_damian,validation,6210,3,3,159,40785
grupo_ocu9_damian,train,8124,9,9,441,107368
grupo_ocu9_damian,train,5242,7,7,54,15872
grupo_ocu9_damian,train,5200,7,9,12,3176
grupo_ocu9_damian,train,5267,7,9,10,4682
grupo_ocu9_damian,train,5202,7,7,228,63332
grupo_ocu9_damian,train,1432,2,1,1,114
grupo_ocu9_damian,train,1132,2,2,60,17556
grupo_ocu9_damian,train,1172,2,2,184,46467
grupo_ocu9_damian,train,5121,8,7,5,965
grupo_ocu9_damian,train,1251,2,4,33,8059
grupo_ocu9_damian,train,6210,3,1,6,601
grupo_ocu9_damian,validation,5342,8,8,16,5585
grupo_ocu9_damian,validation,1204,2,1,4,859
grupo_ocu9_damian,validation,6270,3,3,398,90071
grupo_ocu9_damian,validation,5208,5,5,162,53190
grupo_ocu9_damian,validation,2127,1,5,11,1741
grupo_ocu9_damian,validation,1172,2,2,150,34288
grupo_ocu9_damian,validation,7111,4,7,34,15944
grupo_ocu9_damian,validation,7210,9,7,8,1015
grupo_ocu9_damian,validation,5140,1,8,13,5053
grupo_ocu9_damian,validation,5520,8,8,635,193736
grupo_ocu9_damian,train,2122,1,1,27,15695
grupo_ocu9_damian,train,2125,1,1,48,10446
grupo_ocu9_damian,train,6251,9,9,18,2274
grupo_ocu9_damian,train,1251,2,2,88,20583
grupo_ocu9_damian,train,6221,3,3,89,23310
grupo_ocu9_damian,train,7111,4,4,985,254731
grupo_ocu9_damian,train,5240,7,7,5,2540
grupo_ocu9_damian,train,7210,9,9,232,64895
grupo_ocu9_damian,train,5502,8,8,51,8702
grupo_ocu9_damian,validation,5190,1,2,4,540
grupo_ocu9_damian,validation,8124,9,3,12,3288
grupo_ocu9_damian,validation,6251,9,9,22,5183
grupo_ocu9_damian,validation,7212,9,9,22,3843
grupo_ocu9_damian,validation,8201,5,5,53,20943
grupo_ocu9_damian,validation,1160,2,1,15,3059
grupo_ocu9_damian,validation,1251,2,1,10,2217
grupo_ocu9_damian,validation,5251,7,7,21,7784
grupo_ocu9_damian,validation,8126,9,9,46,11026
grupo_ocu9_damian,train,6232,3,2,6,2697
grupo_ocu9_damian,validation,5245,2,2,175,47378
grupo_ocu9_damian,validation,1320,2,2,241,72641
grupo_ocu9_damian,train,5322,8,8,110,26883
grupo_ocu9_damian,train,6220,3,3,23,3633
grupo_ocu9_damian,train,5203,7,7,3,1371
grupo_ocu9_damian,train,5203,7,9,4,1227
grupo_ocu9_damian,train,5344,8,9,14,3729
grupo_ocu9_damian,train,5222,7,7,113,32817
grupo_ocu9_damian,train,1205,2,2,142,32572
grupo_ocu9_damian,validation,1130,2,2,192,40790
grupo_ocu9_damian,validation,5267,7,7,51,14141
grupo_ocu9_damian,validation,5300,8,3,1,97
grupo_ocu9_damian,validation,5441,9,8,22,5682
grupo_ocu9_damian,validation,1230,2,3,5,658
grupo_ocu9_damian,validation,1230,2,2,28,7283
grupo_ocu9_damian,validation,6270,3,8,11,1190
grupo_ocu9_damian,validation,5521,8,8,181,56866
grupo_ocu9_damian,train,8139,5,5,2,222
grupo_ocu9_damian,train,6101,1,1,27,4634
grupo_ocu9_damian,train,1204,2,2,58,16856
grupo_ocu9_damian,train,6160,1,2,9,1872
grupo_ocu9_damian,train,6221,3,9,14,3060
grupo_ocu9_damian,train,5344,8,8,118,23463
grupo_ocu9_damian,validation,1160,2,2,156,36554
grupo_ocu9_damian,validation,1390,2,2,11,1189
grupo_ocu9_damian,validation,1412,2,2,40,9323
grupo_ocu9_damian,validation,5248,7,7,59,14116
grupo_ocu9_damian,validation,5242,7,7,64,16689
grupo_ocu9_damian,validation,1363,2,8,3,502
grupo_ocu9_damian,train,5343,8,8,77,16077
grupo_ocu9_damian,train,5247,2,2,5,759
grupo_ocu9_damian,validation,1300,2,2,159,44737
grupo_ocu9_damian,validation,1103,2,2,5,1012
grupo_ocu9_damian,validation,6270,3,2,175,31652
grupo_ocu9_damian,validation,7201,4,9,209,61609
grupo_ocu9_damian,validation,2121,1,1,54,19217
grupo_ocu9_damian,validation,6111,1,3,43,12106
grupo_ocu9_damian,train,8301,1,5,274,78200
grupo_ocu9_damian,train,5240,7,9,2,188
grupo_ocu9_damian,train,1130,2,2,170,41716
grupo_ocu9_damian,train,7131,4,3,4,591
grupo_ocu9_damian,train,7100,4,9,80,32974
grupo_ocu9_damian,validation,6101,1,2,53,13957
grupo_ocu9_damian,validation,1105,2,1,8,782
grupo_ocu9_damian,validation,6270,3,4,8,1809
grupo_ocu9_damian,validation,1164,2,2,34,7306
grupo_ocu9_damian,validation,1132,2,2,62,16106
grupo_ocu9_damian,train,6270,3,1,50,7991
grupo_ocu9_damian,train,6270,3,2,178,35632
grupo_ocu9_damian,train,5161,7,2,11,3157
grupo_ocu9_damian,train,8130,5,5,192,55473
grupo_ocu9_damian,train,5260,7,7,242,65868
grupo_ocu9_damian,train,5341,8,8,7,1858
grupo_ocu9_damian,train,6160,1,4,27,6474
grupo_ocu9_damian,validation,6130,1,1,13,1381
grupo_ocu9_damian,validation,6221,3,1,10,3809
grupo_ocu9_damian,validation,5270,2,2,109,26266
grupo_ocu9_damian,validation,5151,7,8,4,1474
grupo_ocu9_damian,validation,8303,5,5,233,74333
grupo_ocu9_damian,validation,5230,7,7,77,23543
grupo_ocu9_damian,train,5100,1,5,11,2709
grupo_ocu9_damian,train,8131,5,5,21,5958
grupo_ocu9_damian,train,6160,1,3,15,3643
grupo_ocu9_damian,train,8303,5,3,10,3429
grupo_ocu9_damian,train,8303,5,5,226,64687
grupo_ocu9_damian,train,1100,2,2,22,5857
grupo_ocu9_damian,train,1211,2,2,2,313
grupo_ocu9_damian,train,1423,2,3,7,1703
grupo_ocu9_damian,validation,7110,4,4,48,10504
grupo_ocu9_damian,validation,5248,7,9,3,939
