egp_general,egp_propio,origen,registros,poblacion
9,9,puente_general,11689,3290282
NA,9,consenso_destinos_oficiales,65,18420
4,4,puente_general,16960,4725208
11,11,puente_general,14820,4329494
8,8,puente_general,10480,3083636
11,4,puente_general,6591,1920510
NA,4,consenso_destinos_oficiales,1456,387756
NA,6,consenso_destinos_oficiales,1646,492031
2,2,puente_general,13914,3725558
1,1,puente_general,9255,2320081
6,6,puente_general,17768,5167439
NA,1,consenso_destinos_oficiales,2484,721028
10,10,puente_general,8483,2351889
NA,3,solo_puente_propio_Damian,6281,1535533
NA,11,consenso_destinos_oficiales,1488,391307
3,3,puente_general,11329,2954790
NA,2,consenso_destinos_oficiales,1577,395392
5,5,puente_general,4357,1136256
NA,2,solo_puente_propio_Damian,2519,649830
7,1,puente_general,954,284737
NA,8,consenso_destinos_oficiales,384,112143
NA,1,solo_puente_propio_Damian,1457,377484
NA,5,consenso_destinos_oficiales,594,158678
13,13,puente_general,10095,3785986
NA,4,solo_puente_propio_Damian,258,72406
NA,7,consenso_destinos_oficiales,457,140866
7,7,puente_general,1717,415715
11,3,puente_general,1374,456536
NA,3,consenso_destinos_oficiales,324,93875
NA,NA,pendiente,232,62700
NA,10,consenso_destinos_oficiales,293,70463
NA,12,solo_puente_propio_Damian,601,152826
NA,6,solo_puente_propio_Damian,72,24724
NA,8,solo_puente_propio_Damian,274,90541
12,12,puente_general,6909,2580368
NA,9,solo_puente_propio_Damian,289,73914
7,2,puente_general,47,8856
10,1,puente_general,198,50520
11,10,puente_general,37,7874
NA,13,solo_puente_propio_Damian,478,114424
5,3,puente_general,41,19633
NA,5,solo_puente_propio_Damian,12,2343
NA,13,consenso_destinos_oficiales,24,4822
10,NA,puente_general,10,977
10,4,puente_general,2,2021
10,3,puente_general,1,78
11,NA,puente_general,3,1698
NA,12,consenso_destinos_oficiales,26,3205
