"cmo","etiqueta","registros","poblacion","sinco_historico","linea_stata_efectiva","regla_efectiva","destinos_stata_en_orden","lineas_stata_en_orden","linea_csv_care","sinco4d_tabla_general_sin_normalizar","sinco3d_tabla_general","egp_original","destinos_oficiales","fuente_stata","criterio_historico"
1204,"Técnicos en ingeniería química, industrial y mecánica",581,153339,2621,163,"replace	sinco11=	2621	if	cmo==	1204	&	sinco11==-1","2621|2631|2633|2635|2637|2645","163|170|172|174|176|185",54,"262","262","2","2621|2631|2633|2635|2637|2645","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
1230,"Técnicos laboratoristas químicos y biólogos",226,57892,2612,156,"replace	sinco11=	2612	if	cmo==	1230	&	sinco11==-1","2612|2813|2827","156|199|207",66,"NA","NA","2","2612|2813|2827","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
1250,"Técnicos en ciencias sociales",421,98103,2531,143,"replace	sinco11=	2531	if	cmo==	1250	&	sinco11==-1","2531|2532|2711","143|144|191",75,"NA","NA","3","2531|2532|2711","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",215,46563,1211,13,"replace	sinco11=	1211	if	cmo==	2121	&	sinco11==-1","1211|1212|1224|1321","13|14|18|22",124,"122","122","2","1211|1212|1224|1321","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
2125,"Directores gerentes y administradores de área o establecimientos de enseñanza e investigación",22,4496,1223,17,"replace	sinco11=	1223	if	cmo==	2125	&	sinco11==-1","1223|1324","17|24",128,"122","122","2","1223|1324","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
2126,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",25,4548,1222,16,"replace	sinco11=	1222	if	cmo==	2126	&	sinco11==-1","1222|1225","16|19",129,"122","122","1","1222|1225|1226","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4109,"Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo",187,43443,6119,311,"replace	sinco11=	6119	if	cmo==	4109	&	sinco11==-1","6119|9111","311|471",148,"NA","NA","13|12","6119|9111","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4119,"Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo",65,18905,6129,320,"replace	sinco11=	6129	if	cmo==	4119	&	sinco11==-1","6129|9112","320|472",156,"NA","NA","13|12","6129|9112","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4120,"Trabajadores que combinan actividades agrícolas con ganaderas",207,47014,6131,321,"replace	sinco11=	6131	if	cmo==	4120	&	sinco11==-1","6131|9113","321|473",157,"NA","NA","13","6131|9113","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4134,"Cortadores y recolectores de leña",76,21151,6225,330,"replace	sinco11=	6225	if	cmo==	4134	&	sinco11==-1","6225|9124","330|478",162,"NA","NA","12|13","6225|9124","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4139,"Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo",1,403,6999,335,"replace	sinco11=	6999	if	cmo==	4139	&	sinco11==-1","6999|9121","335|474",165,"NA","NA","13","6999|9121","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4151,"Trabajadores en actividades de acuacultura",29,10491,6212,324,"replace	sinco11=	6212	if	cmo==	4151	&	sinco11==-1","6212|9122","324|476",168,"NA","NA","13|12","6212|9122","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
4170,"Capataces, caporales, mayorales y similares en actividades agropecuarias,silvícolas y pesqueras",8,2653,6101,300,"replace	sinco11=	6101	if	cmo==	4170	&	sinco11==-1","6101|6201","300|322",173,"NA","NA","12","6101|6201","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
5100,"Jefes, coordinadores y similares en la fabricación de alimentos, bebidas y productos de tabaco",209,65204,1614,42,"replace	sinco11=	1614	if	cmo==	5100	&	sinco11==-1","1614|5101","42|260",175,"NA","NA","1|2","1614|5101","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
5141,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",589,162091,2630,168,"replace	sinco11=	2630	if	cmo==	5141	&	sinco11==-1","2630|7201|8201","168|352|452",188,"NA","NA","2","2630|7201|8201","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
5170,"Jefes, coordinadores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",62,17410,1613,40,"replace	sinco11=	1613	if	cmo==	5170	&	sinco11==-1","1613|8101","40|405",196,"NA","NA","1|2","1613|8101","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
5380,"Operadores de máquinas para el tratamiento de sustancias químicas y agua",124,47935,8131,414,"replace	sinco11=	8131	if	cmo==	5380	&	sinco11==-1","8131|8134","414|417",302,"813","813","8|9","8131|8134","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
6101,"Jefes de departamento, coordinadores y supervisores en servicios de educación",402,79900,1523,34,"replace	sinco11=	1523	if	cmo==	6101	&	sinco11==-1","1523|2311","34|107",345,"NA","NA","1","1523|2311","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
6110,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",286,79047,1512,31,"replace	sinco11=	1512	if	cmo==	6110	&	sinco11==-1","1512|3101","31|221",347,"NA","NA","1","1512|3101","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
6121,"Jefes de departamento, coordinadores y supervisores en la coordinación del transporte",148,52344,1623,54,"replace	sinco11=	1623	if	cmo==	6121	&	sinco11==-1","1623|2661|8301","54|190|455",350,"NA","NA","1","1623|2661|2662|8301","I:/Mi unidad/2026/IN305925/data_todos/varios_viejo_pruebas/cmo a sinco11.do","Primer replace; no utiliza auxiliares ENOE"
