split,p4f,new_value,sinco_observado,n,w,proporcion
train,8,3,4224,132,38281,0.9913248394447898
validation,8,3,4224,135,46307,0.997974181590914
validation,6,3,4224,2,353,1
validation,2,3,4224,77,13920,0.9495225102319236
train,8,11,9512,1,116,0.0030039361922519162
train,2,11,9512,5,524,0.02841494495960089
train,2,3,4224,75,17113,0.927986551705439
train,6,3,4224,1,104,1
train,2,6,4111,1,804,0.04359850333496014
train,8,6,4111,2,219,0.005671224362958359
train,7,3,4224,1,132,1
validation,2,11,9512,3,740,0.0504774897680764
validation,11,6,4111,1,68,1
validation,NA,3,4224,1,76,1
validation,8,11,9512,1,94,0.002025818409086011
validation,1,3,4224,1,28,1
