source_code,target_code,decision_status,evidence_level,max_supported_level
1110,1110,unique,official_exact,4d
1121,1121,unique,official_exact,4d
1122,1122,unique,official_exact,4d
1130,1130,unique,official_exact,4d
1141,1141,unique,official_exact,4d
1142,1142,unique,official_exact,4d
1150,1150,unique,official_exact,4d
1199,1199,preferred,semantic,4d
2110,2110,unique,official_exact,4d
2121,2121,unique,official_exact,4d
2122,2122,unique,official_exact,4d
2123,2123,unique,official_exact,4d
2129,2129,unique,official_exact,4d
2131,2131,unique,official_exact,4d
2132,2132,unique,official_exact,4d
2199,2199,preferred,semantic,4d
2210,2211,preferred,semantic,4d
2221,2212,preferred,semantic,4d
2222,2213,preferred,semantic,4d
2361,2361,unique,official_exact,4d
2362,2362,unique,official_exact,4d
2363,2363,unique,official_exact,4d
2370,2370,unique,official_exact,4d
2381,2381,unique,official_exact,4d
2382,2382,unique,official_exact,4d
2399,2399,preferred,semantic,4d
3110,3110,unique,official_exact,4d
3120,3120,unique,official_exact,4d
3130,3130,unique,official_exact,4d
3140,3140,unique,official_exact,4d
3150,3150,unique,official_exact,4d
3160,3160,unique,official_exact,4d
3210,3210,unique,official_exact,4d
3220,3220,unique,official_exact,4d
3230,3230,unique,official_exact,4d
3240,3240,unique,official_exact,4d
3250,3250,unique,official_exact,4d
3260,3260,unique,official_exact,4d
3270,3270,unique,official_exact,4d
3310,3310,unique,official_exact,4d
3320,3320,unique,official_exact,4d
3330,3330,unique,official_exact,4d
3340,3340,unique,official_exact,4d
3350,3350,unique,official_exact,4d
3360,3360,preferred,semantic,4d
3370,3370,unique,official_exact,4d
3380,3380,unique,official_exact,4d
3399,3399,preferred,semantic,4d
4310,4310,unique,official_exact,4d
4320,4320,unique,official_exact,4d
4330,4330,unique,official_exact,4d
4340,4340,unique,official_exact,4d
4350,4350,unique,official_exact,4d
4360,4360,unique,official_exact,4d
4370,4370,unique,official_exact,4d
4399,4399,preferred,semantic,4d
4611,4611,unique,official_exact,4d
4612,4612,preferred,semantic,4d
4620,4620,unique,official_exact,4d
4631,4631,unique,official_exact,4d
4632,4632,unique,official_exact,4d
4641,4641,unique,official_exact,4d
4642,4642,unique,official_exact,4d
4651,4651,unique,official_exact,4d
4652,4652,unique,official_exact,4d
4661,4661,unique,official_exact,4d
4662,4662,preferred,semantic,4d
4671,4671,unique,official_exact,4d
4672,4672,preferred,semantic,4d
4681,4681,unique,official_exact,4d
4682,4682,unique,official_exact,4d
4690,4690,preferred,semantic,4d
4699,4699,preferred,semantic,4d
4810,4810,unique,official_exact,4d
4820,4820,unique,official_exact,4d
4830,4830,unique,official_exact,4d
4840,4840,unique,official_exact,4d
4850,4850,unique,official_exact,4d
4860,4860,unique,official_exact,4d
4870,4870,unique,official_exact,4d
4881,4881,unique,official_exact,4d
4882,4882,unique,official_exact,4d
4899,4899,preferred,semantic,4d
4910,4910,unique,official_exact,4d
4920,4920,unique,official_exact,4d
4930,4930,unique,official_exact,4d
5110,5110,unique,official_exact,4d
5120,5120,unique,official_exact,4d
5150,5150,unique,official_exact,4d
5170,5170,preferred,semantic,4d
5180,5180,unique,official_exact,4d
5190,5190,unique,official_exact,4d
5199,5199,preferred,semantic,4d
5210,5210,unique,official_exact,4d
5221,5221,unique,official_exact,4d
5222,5222,preferred,semantic,4d
5223,5223,unique,official_exact,4d
5229,5229,unique,official_exact,4d
5230,5230,unique,official_exact,4d
5240,5240,preferred,semantic,4d
5299,5299,preferred,semantic,4d
5310,5310,unique,official_exact,4d
5321,5321,unique,official_exact,4d
5322,5322,unique,official_exact,4d
5330,5330,unique,official_exact,4d
5399,5399,preferred,semantic,4d
5411,5411,unique,official_exact,4d
5412,5412,unique,official_exact,4d
5413,5413,unique,official_exact,4d
5414,5414,preferred,semantic,4d
5510,5510,unique,official_exact,4d
5611,5611,preferred,semantic,4d
5612,5612,unique,official_exact,4d
5613,5613,unique,official_exact,4d
5614,5614,unique,official_exact,4d
5615,5615,unique,official_exact,4d
5616,5616,unique,official_exact,4d
5620,562,unique,aggregation,3d
6111,6111,preferred,semantic,4d
6112,6112,preferred,semantic,4d
6119,6119,preferred,semantic,4d
6121,6121,preferred,semantic,4d
6122,6122,preferred,semantic,4d
6129,6129,preferred,semantic,4d
6131,6131,unique,official_exact,4d
6132,6132,unique,official_exact,4d
6139,6139,unique,official_exact,4d
6141,6141,unique,official_exact,4d
6142,6142,unique,official_exact,4d
6149,6149,unique,official_exact,4d
6150,6150,unique,official_exact,4d
6199,6199,preferred,semantic,4d
6211,6211,unique,official_exact,4d
6212,6212,unique,official_exact,4d
6219,6219,preferred,semantic,4d
6221,6221,unique,official_exact,4d
6222,6222,unique,official_exact,4d
6229,6229,unique,official_exact,4d
6231,6231,preferred,semantic,4d
6232,6232,preferred,semantic,4d
6239,6239,preferred,semantic,4d
6241,6241,unique,official_exact,4d
6242,6242,unique,official_exact,4d
6249,6249,unique,official_exact,4d
6251,6251,unique,official_exact,4d
6252,6252,preferred,semantic,4d
6259,6259,preferred,semantic,4d
6299,6299,preferred,semantic,4d
7111,7111,preferred,semantic,4d
7112,7112,preferred,semantic,4d
7113,7113,unique,official_exact,4d
7114,7114,unique,official_exact,4d
7115,7115,preferred,semantic,4d
7120,7120,unique,official_exact,4d
7131,7131,preferred,semantic,4d
7132,7132,unique,official_exact,4d
7133,7133,unique,official_exact,4d
7210,7210,unique,official_exact,4d
7221,7221,unique,official_exact,4d
7222,7222,unique,official_exact,4d
7223,7223,unique,official_exact,4d
8111,8111,unique,official_exact,4d
8112,8112,unique,official_exact,4d
8119,8119,preferred,semantic,4d
8121,8121,unique,official_exact,4d
8122,8122,unique,official_exact,4d
8123,8123,unique,official_exact,4d
8124,8124,unique,official_exact,4d
8125,8125,unique,official_exact,4d
8130,8130,unique,official_exact,4d
8140,8140,unique,official_exact,4d
9311,9311,unique,official_exact,4d
9312,9312,unique,official_exact,4d
9313,9313,unique,official_exact,4d
9314,9314,unique,official_exact,4d
9319,9319,unique,official_exact,4d
9320,9320,unique,official_exact,4d
9399,9399,preferred,semantic,4d
9700,9700,unique,official_exact,4d
9800,9800,unique,official_exact,4d
9999,9999,preferred,semantic,4d
