par_c,descripcion,relative
101,JEFE O JEFA,1
201,ESPOSA(O),2
202,COMPAÑERA(O),2
203,AMASIA(O) / CONCUBINA(O) / QUERIDA(O),2
204,SEÑORA / MUJER / MARIDO,2
205,CONSORTE / CÓNYUGE / PAREJA,2
301,HIJO(A),3
302,HIJASTRO(A) / ENTENADO(A),3
303,ADOPTADO(A),3
304,HIJO(A) RECONOCIDO(A),3
305,HIJO(A) DE CRIANZA / RECOGIDO(A),3
401,TRAB. DOMÉSTICO(A) Y SIMILARES,7
420,CÓNYUGE DEL TRAB. DOMÉSTICO Y SIMILARES,7
430,HIJO(A) DEL TRAB. DOMÉSTICO Y SIMILARES,7
440,"PADRE, MADRE Y OTROS PARIENTES DEL TRAB. DOMÉSTICO",7
501,NO TIENE PARENTESCO / NINGUNO / COMPAÑERO DE VIVIENDA,6
601,MADRE / PADRE / MAMÁ / PAPÁ / TATA,4
602,PADRASTRO / MADRASTRA,4
603,HERMANO(A) / MEDIO(A) HERMANO(A),5
604,HERMANASTRO(A),5
605,ABUELO(A) / ABUELITO(A),5
606,BISABUELO(A),5
607,TATARABUELO(A),5
608,NIETO(A),5
609,BISNIETO(A),5
610,TATARANIETO(A),5
611,TÍO(A),5
612,SOBRINO(A),5
613,PRIMO(A),5
614,SUEGRO(A),5
615,CONSUEGRO(A),5
616,NUERA / YERNO,5
617,CUÑADO(A),5
618,CONCUÑO(A),5
619,TUTOR(A),5
620,TUTELADO(A) / BAJO POTESTAD / CUSTODIA,5
621,PADRINO / MADRINA,5
622,AHIJADO(A),5
623,COMPADRE / COMADRE,5
624,FAMILIAR / PARIENTE LEJANO / OTRO PARENTESCO,5
701,HUÉSPED,6
702,ABONADO(A),6
703,INQUILINO(A),6
999,NO ESPECIFICADO / NO SABE / VIUDA,6
