source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
1100,Arquitectos y urbanistas,1,2263,2263,1,226,226,1,22,22,1,2,2,4d,official_unique
1101,Ingenieros civiles y de la construcción,1,2261,2261,1,226,226,1,22,22,1,2,2,4d,official_unique
1102,"Ingenieros en minas, metalurgia y petróleo",1,2254,2254,1,225,225,1,22,22,1,2,2,4d,official_unique
1103,"Ingenieros en topografía, hidrología, geología y geodesia",1,2262,2262,1,226,226,1,22,22,1,2,2,4d,official_unique
1104,"Ingenieros químicos, industriales y mecánicos",3,2251|2252|2253,NA,1,225,225,1,22,22,1,2,2,3d,official_multiple_unresolved
1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",5,2241|2242|2271|2272|2281,NA,3,224|227|228,NA,1,22,22,1,2,2,2d,official_multiple_unresolved
1106,Ingenieros biomédicos,1,2421,2421,1,242,242,1,24,24,1,2,2,4d,official_unique
1109,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1110,Físicos y astrónomos,1,2211,2211,1,221,221,1,22,22,1,2,2,4d,official_unique
1111,"Matemáticos, estadísticos y actuarios",1,2212,2212,1,221,221,1,22,22,1,2,2,4d,official_unique
1119,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1120,Químicos,1,2222,2222,1,222,222,1,22,22,1,2,2,4d,official_unique
1121,Farmacólogos,1,2428,2428,1,242,242,1,24,24,1,2,2,4d,official_unique
1129,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1130,Médicos generales y especialistas,4,2411|2412|2425|2427,NA,2,241|242,NA,1,24,24,1,2,2,2d,official_multiple_unresolved
1131,Profesionistas en enfermería,1,2426,2426,1,242,242,1,24,24,1,2,2,4d,official_unique
1132,Odontólogos,1,2413,2413,1,241,241,1,24,24,1,2,2,4d,official_unique
1133,Profesionistas en optometría,1,2422,2422,1,242,242,1,24,24,1,2,2,4d,official_unique
1134,Profesionistas en nutrición,1,2423,2423,1,242,242,1,24,24,1,2,2,4d,official_unique
1139,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2424,2424,1,242,242,1,24,24,1,2,2,4d,official_unique
1140,Biólogos,1,2221,2221,1,222,222,1,22,22,1,2,2,4d,official_unique
1141,Ecólogos y profesionistas en ciencias atmosféricas,1,2223,2223,1,222,222,1,22,22,1,2,2,4d,official_unique
1142,Profesionistas en ciencias del mar y oceanógrafos,1,2221,2221,1,222,222,1,22,22,1,2,2,4d,official_unique
1149,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1150,Agrónomos,1,2231,2231,1,223,223,1,22,22,1,2,2,4d,official_unique
1151,Veterinarios y zootecnistas,1,2232,2232,1,223,223,1,22,22,1,2,2,4d,official_unique
1152,Profesionistas en forestación,1,2233,2233,1,223,223,1,22,22,1,2,2,4d,official_unique
1153,Profesionistas en pesca y en acuacultura,1,2234,2234,1,223,223,1,22,22,1,2,2,4d,official_unique
1159,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1160,Abogados,1,2135,2135,1,213,213,1,21,21,1,2,2,4d,official_unique
1161,Sociólogos y demógrafos,2,2132|2143,NA,2,213|214,NA,1,21,21,1,2,2,2d,official_multiple_unresolved
1162,Profesionistas en ciencias políticas y administración pública,1,2133,2133,1,213,213,1,21,21,1,2,2,4d,official_unique
1163,"Antropólogos, arqueólogos e historiadores",1,2131,2131,1,213,213,1,21,21,1,2,2,4d,official_unique
1164,Sicólogos (psicólogos),1,2142,2142,1,214,214,1,21,21,1,2,2,4d,official_unique
1165,Profesionistas en filosofía y letras,1,2141,2141,1,214,214,1,21,21,1,2,2,4d,official_unique
1166,Pedagogos,1,2312,2312,1,231,231,1,23,23,1,2,2,4d,official_unique
1167,Profesionistas en ciencias de la comunicación,1,2112,2112,1,211,211,1,21,21,1,2,2,4d,official_unique
1168,Geógrafos,1,2134,2134,1,213,213,1,21,21,1,2,2,4d,official_unique
1169,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1170,Economistas,1,2123,2123,1,212,212,1,21,21,1,2,2,4d,official_unique
1171,Administradores de empresas,1,2111,2111,1,211,211,1,21,21,1,2,2,4d,official_unique
1172,Contadores públicos,2,2121|2122,NA,1,212,212,1,21,21,1,2,2,3d,official_multiple_unresolved
1173,Profesionistas en mercadotecnia,1,2112,2112,1,211,211,1,21,21,1,2,2,4d,official_unique
1174,"Profesionistas en archivo, biblioteconomía y museografía",1,2144,2144,1,214,214,1,21,21,1,2,2,4d,official_unique
1175,Profesionistas en hotelería y turismo,1,2113,2113,1,211,211,1,21,21,1,2,2,4d,official_unique
1179,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1180,Religiosos profesionistas,1,2145,2145,1,214,214,1,21,21,1,2,2,4d,official_unique
1190,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,2991,1,299,299,1,29,29,1,2,2,4d,official_unique
1200,Técnicos en dibujo,1,2625,2625,1,262,262,1,26,26,1,2,2,4d,official_unique
1201,Técnicos en ingeniería civil y de la construcción,1,2624,2624,1,262,262,1,26,26,1,2,2,4d,official_unique
1202,"Técnicos en ingeniería en minas, metalurgia y petróleo",1,2623,2623,1,262,262,1,26,26,1,2,2,4d,official_unique
1203,"Técnicos en ingeniería topográfica, hidrológica, geológica y geodésica",1,2622,2622,1,262,262,1,26,26,1,2,2,4d,official_unique
