sinco2019,sinco2011,n_destinos_2011,calidad_puente,pagina_pdf,fuente_url
1111,1111,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1112,1112,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1113,1113,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1121,1121,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1122,1122,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1129,1129,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1131,1131,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1132,1132,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1133,1133,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1134,1134,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1135,1135,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1211,1211,1,Directa,357,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1212,1212,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1221,1221,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1222,1222,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1223,1223,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1224,1224,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1225,1225,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1226,1226,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1311,1311,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1312,1312,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1313,1313,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1314,1314,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1315,1315,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1319,,0,Sin equivalencia,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1321,1321,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1322,1322,1,Directa,358,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1323,1323,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1324,1324,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1329,,0,Sin equivalencia,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1411,1411,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1412,1412,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1421,1421,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1422,1422,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1423,1423,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1511,1511,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1512,1512,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1521,1521,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1522,1522,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1523,1523,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1524,1524,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1525,1525,1,Directa,359,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1526,1526,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1611,1611,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1612,1612,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1613,1613,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1614,1614,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1615,1615,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1619,1619,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1621,1621,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1622,1622,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1623,1623,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1624,1624,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1629,1629,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1711,1711,1,Directa,360,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1712,1712,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1721,1721,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1722,1722,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1723,1723,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
1999,1999,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2111,2111,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2112,2112,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2113,2113,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2121,2121,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2122,2122,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2131,2131,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2132,2132,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2133,2133,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2134,2134,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2135,2135,1,Directa,361,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2136,2123,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2141,2141,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2142,2142,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2143,2143,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2144,2144,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2145,2145,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2151,2151,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2152,2152,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2153,2153,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2161,2161,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2162,2162,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2163,2163,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2164,2164,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2171,2171,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2172,2172,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2173,2173,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2174,2174,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2175,2175,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2211,2211,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2212,2212,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2221,2221,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2222,2222,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2223,2223,1,Directa,362,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2231,2231,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2232,2232,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2233,2233,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2234,2234,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2241,2241,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2242,2242,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2251,2251,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2252,2252,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2253,2253,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2254,2254,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2261,2261,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2262,2262,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2263,2263,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2271,2271,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2272,2272,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
2281,2281,1,Directa,363,https://www.inegi.org.mx/app/biblioteca/ficha.html?upc=702825198411
