trimestre,coe_tipo,coe_v,sdem_v,fd,encoding
t105,ampliado,v1,v1,v1,UTF-8
t205,ampliado,v1,v1,v1,UTF-8
t305,ampliado,v1,v1,v1,UTF-8
t405,ampliado,v1,v1,v1,UTF-8
t106,ampliado,v1,v1,v1,UTF-8
t206,ampliado,v1,v1,v1,UTF-8
t306,basico,v1,v1,v1,UTF-8
t406,basico,v1,v1,v1,UTF-8
t107,basico,v1,v1,v1,UTF-8
t207,ampliado,v2,v1,v1,UTF-8
t307,basico,v2,v1,v1,UTF-8
t407,basico,v2,v1,v1,UTF-8
t108,basico,v2,v1,v1,UTF-8
t208,ampliado,v2,v1,v1,UTF-8
t308,basico,v2,v1,v1,UTF-8
t408,basico,v2,v1,v1,UTF-8
t109,ampliado,v2,v1,v1,UTF-8
t209,basico,v3,v2,v1,UTF-8
t309,basico,v3,v2,v1,UTF-8
t409,basico,v3,v2,v1,UTF-8
t110,ampliado,v3,v2,v1,UTF-8
t210,basico,v3,v2,v1,UTF-8
t310,basico,v3,v2,v1,UTF-8
t410,basico,v3,v2,v1,UTF-8
t111,ampliado,v3,v2,v1,UTF-8
t211,basico,v3,v2,v1,UTF-8
t311,basico,v3,v2,v1,UTF-8
t411,basico,v3,v2,v1,UTF-8
t112,ampliado,v3,v2,v1,UTF-8
t212,basico,v3,v2,v1,UTF-8
t312,basico,v3,v2,v1,UTF-8
t412,basico,v3,v2,v1,UTF-8
t113,ampliado,v4,v3,v1,latin1
t213,basico,v4,v3,v1,latin1
t313,basico,v4,v3,v1,latin1
t413,basico,v4,v3,v1,latin1
t114,ampliado,v4,v3,v1,latin1
t214,basico,v4,v3,v1,latin1
t314,basico,v4,v3,v1,latin1
t414,basico,v4,v3,v1,latin1
t115,ampliado,v4,v3,v1,latin1
t215,basico,v4,v3,v1,latin1
t315,basico,v4,v3,v1,latin1
t415,basico,v4,v3,v1,latin1
t116,ampliado,v5,v3,v1,latin1
t216,basico,v5,v4,v1,latin1
t316,basico,v5,v4,v1,latin1
t416,basico,v5,v4,v1,latin1
t117,ampliado,v5,v4,v1,latin1
t217,basico,v5,v4,v1,latin1
t317,basico,v5,v4,v1,latin1
t417,basico,v5,v4,v1,latin1
t118,ampliado,v5,v4,v1,latin1
t218,basico,v5,v4,v1,latin1
t318,basico,v5,v4,v1,latin1
t418,basico,v5,v4,v1,latin1
t119,ampliado,v5,v4,v1,latin1
t219,basico,v5,v4,v1,latin1
t319,basico,v5,v4,v1,latin1
t419,basico,v5,v4,v1,latin1
t120,ampliado,v5,v4,v1,UTF-8
t220,,,,,UTF-8
t320,basico,v5,v4,v2,UTF-8
t420,basico,v5,v4,v2,UTF-8
t121,ampliado,v5a,v4,v2,UTF-8
t221,basico,v5,v4,v2,UTF-8
t321,basico,v6,v5,v3,UTF-8
t421,basico,v6,v5,v3,UTF-8
t122,ampliado,v6,v5,v3,UTF-8
t222,basico,v6,v5,v3,UTF-8
t322,basico,v6,v5,v3,UTF-8
t422,basico,v6,v5,v3,UTF-8
t123,ampliado,v6a,v5a,v4,UTF-8
t223,basico,v7,v5a,v4,UTF-8
t323,basico,v7,v5a,v4,UTF-8
t423,basico,v7,v5a,v4,UTF-8
t124,ampliado,v6a,v5a,v4,UTF-8
t224,basico,v7,v5a,v4,UTF-8
t324,basico,v7,v5a,v4,UTF-8
t424,basico,v7,v5a,v4,UTF-8
t125,ampliado,v6a,v5a,v4,UTF-8
