"archivo","line1","ordinal","valor"
"R/aplicar_etiquetas_enoe.R",46,1,"No se encontró el diccionario `"
"R/aplicar_etiquetas_enoe.R",108,1," catálogos de valores."
"R/armoniza_sinco.R",95,1,"Puente analítico CMO-SINCO 2011"
"R/armoniza_sinco.R",96,1,"CMO sin equivalencia de cuatro dígitos"
"R/armoniza_sinco.R",129,1,"Código ocupacional original del trimestre"
"R/armoniza_sinco.R",131,1,"Código ocupacional armonizado a SINCO 2011, cuatro dígitos"
"R/armoniza_sinco.R",132,1,"Código ocupacional armonizado a SINCO 2011, cuatro dígitos"
"R/armoniza_sinco.R",133,1,"Código ocupacional armonizado a SINCO 2011, tres dígitos"
"R/armoniza_sinco.R",134,1,"Código ocupacional armonizado a SINCO 2011, dos dígitos"
"R/armoniza_sinco.R",135,1,"Código ocupacional armonizado a SINCO 2011, un dígito"
"R/armoniza_sinco.R",136,1,"Número de destinos en el puente hacia SINCO 2011"
"R/armoniza_sinco.R",137,1,"Procedencia y calidad de la armonización ocupacional"
"R/armonizar_carreras_enoe.R",52,1,"Educación"
"R/armonizar_carreras_enoe.R",54,1,"Ciencias sociales, administración y derecho"
"R/armonizar_carreras_enoe.R",55,1,"Ciencias naturales, matemáticas, estadística y TIC"
"R/armonizar_carreras_enoe.R",56,1,"Ingeniería, manufactura y construcción"
"R/armonizar_carreras_enoe.R",57,1,"Agronomía y veterinaria"
"R/armonizar_carreras_enoe.R",63,1,"Educación"
"R/armonizar_carreras_enoe.R",66,1,"Administración y negocios"
"R/armonizar_carreras_enoe.R",67,1,"Ciencias naturales, matemáticas y estadística"
"R/armonizar_carreras_enoe.R",68,1,"Tecnologías de la información y la comunicación"
"R/armonizar_carreras_enoe.R",69,1,"Ingeniería, manufactura y construcción"
"R/armonizar_carreras_enoe.R",70,1,"Agronomía y veterinaria"
"R/armonizar_carreras_enoe.R",145,1,"Urbanismo y planeación territorial"
"R/armonizar_carreras_enoe.R",147,1,"Arquitectura, urbanismo y diseño en posgrado"
"R/armonizar_carreras_enoe.R",148,1,"Construcción"
"R/armonizar_carreras_enoe.R",149,1,"Construcción técnica"
"R/armonizar_carreras_enoe.R",150,1,"Computación e informática"
"R/armonizar_carreras_enoe.R",151,1,"Computación e informática"
"R/armonizar_carreras_enoe.R",152,1,"Computación e informática"
"R/armonizar_carreras_enoe.R",153,1,"Artes gráficas y diseño gráfico"
"R/armonizar_carreras_enoe.R",154,1,"Diseño"
"R/armonizar_carreras_enoe.R",155,1,"Diseño industrial y artesanal"
"R/armonizar_carreras_enoe.R",156,1,"Diseño de interiores"
"R/armonizar_carreras_enoe.R",157,1,"Diseño textil y de moda"
"R/armonizar_carreras_enoe.R",158,1,"Otros estudios de diseño"
"R/armonizar_carreras_enoe.R",159,1,"Diseño en posgrado"
"R/armonizar_carreras_enoe.R",160,1,"Electricidad y electrónica"
"R/armonizar_carreras_enoe.R",161,1,"Electricidad y electrónica"
"R/armonizar_carreras_enoe.R",162,1,"Electricidad y electrónica"
"R/armonizar_carreras_enoe.R",163,1,"Mecánica y electromecánica"
"R/armonizar_carreras_enoe.R",164,1,"Mecánica y mantenimiento"
"R/armonizar_carreras_enoe.R",165,1,"Mecánica y mantenimiento"
"R/armonizar_carreras_enoe.R",166,1,"Producción industrial y manufactura"
"R/armonizar_carreras_enoe.R",167,1,"Producción industrial y manufactura"
"R/armonizar_carreras_enoe.R",168,1,"Producción industrial y manufactura"
"R/armonizar_carreras_enoe.R",169,1,"Industria textil y confección"
"R/armonizar_carreras_enoe.R",171,1,"Minería y extracción"
"R/armonizar_carreras_enoe.R",172,1,"Minería y metalurgia"
"R/armonizar_carreras_enoe.R",175,1,"Comunicación"
"R/armonizar_carreras_enoe.R",176,1,"Comunicación y periodismo"
"R/armonizar_carreras_enoe.R",178,1,"Idiomas y traducción"
"R/armonizar_carreras_enoe.R",326,1,"Sin información de carrera"
"R/armonizar_carreras_enoe.R",345,1,"La armonización cambió el número de filas: "
"R/armonizar_carreras_enoe.R",356,1,"Grupo del Catálogo de Carreras 2005"
"R/armonizar_carreras_enoe.R",359,1,"Campo de formación armonizado en ocho categorías"
"R/armonizar_carreras_enoe.R",360,1,"Descripción del campo armonizado en ocho categorías"
"R/armonizar_carreras_enoe.R",361,1,"Campo de formación armonizado en diez categorías"
"R/armonizar_carreras_enoe.R",362,1,"Descripción del campo armonizado en diez categorías"
"R/armonizar_carreras_enoe.R",363,1,"Descripción resumida de la equivalencia del Catálogo 2005"
"R/armonizar_carreras_enoe.R",364,1,"Calidad de la armonización de la carrera"
"R/armonizar_carreras_enoe.R",366,1,"Cuenta con código de carrera"
"R/armonizar_carreras_enoe.R",367,1,"Cuenta con campo armonizado de ocho categorías"
"R/calcular_desajuste_estadistico.R",58,1,"`umbral_anios` debe ser un número finito mayor o igual que cero."
"R/calcular_desajuste_estadistico.R",70,1,"`. Agréguelo o use `ponderado = FALSE`."
"R/calcular_desajuste_estadistico.R",106,1,"La referencia anual requiere cuatro trimestres por año; año incompleto: "
"R/calcular_desajuste_estadistico.R",169,1,"Referencia estadística observada de años de escolaridad"
"R/calcular_desajuste_estadistico.R",170,1,"Desajuste educativo respecto a la referencia estadística observada"
"R/calcular_desajuste_estadistico.R",171,1,"Periodo usado para la referencia estadística de escolaridad"
"R/calcular_desajuste_estadistico.R",172,1,"Ponderador usado para la referencia estadística de escolaridad"
"R/calcular_desajuste_estadistico.R",173,1,"Número de trimestres acumulados en la referencia"
"R/calcular_desajuste_estadistico.R",174,1,"Unidad analítica de la referencia estadística"
"R/calcular_desajuste_estadistico.R",178,1,"Sobreeducación"
"R/calcular_desajuste_estadistico.R",180,1,"Subeducación"
"R/calcular_desajuste_estadistico.R",187,1,"Desajuste educativo con la definición histórica; conservar sólo para trazabilidad"
"R/carga_enoe.R",57,1,"El año debe estar entre 2005 y 2026."
"R/carga_enoe.R",76,1,"Usando datos en caché de "
"R/carga_enoe.R",79,1,"No se pudo descargar el archivo ZIP después de "
"R/class_cuidado_rem.R",66,1,"`anio` debe ser numérico y `trim` debe ser 1-4 o t1-t4."
"R/class_cuidado_rem.R",108,1," códigos CMO no faltantes convertidos ("
"R/class_cuidado_rem.R",291,1,"Versión SCIAN-Hogares documentada"
"R/class_cuidado_rem.R",323,1,"Sí"
"R/class_cuidado_rem.R",324,1,"Sí"
"R/class_cuidado_rem.R",325,1,"Sí"
"R/cmo_to_sinco1d.R",65,1,"Clasificación SINCO 1d (ocupación agregada)"
"R/crear_folios.R",47,1,"No se encontró la variable 'n_ren'. No se generó 'folio3'."
"R/descarga_enoe.R",37,1,"El año debe ser numérico"
"R/descarga_enoe.R",38,1,"El trimestre debe ser numérico"
"R/descarga_enoe.R",53,1,"Los archivos ya existen en el directorio 'datos'. Usando caché."
"R/descarga_enoe.R",59,1,"No se pudo descargar el archivo ZIP después de "
"R/descarga_enoe.R",68,1,"Sustituyendo archivo de hogares para 2022T1 con versión corregida..."
"R/descarga_enoe.R",76,1,"No se encontró el archivo corregido para hogares 2022T1 en inst/extdata"
"R/fusion_enoe.R",45,1,"2022-T1 requiere fusión robusta para conservar la población rural; se usará `fusion_robusta = TRUE`."
"R/fusion_enoe.R",116,1,"No se encontraron variables de unión entre viv y hog."
"R/fusion_enoe.R",119,1,"No se encontraron variables de unión entre hog y sdem."
"R/fusion_enoe.R",122,1,"No se encontraron variables de unión entre sdem y coe."
"R/fusion_enoe.R",171,1,"La fusión robusta no conservó el número esperado de filas de SDEM: "
"R/fusion_enoe.R",172,1,". No se guardará el resultado."
"R/fusion_enoe.R",176,1,"La tabla fusionada está vacía. Verificar posibles errores."
"R/fusion_enoe.R",178,1,"La tabla fusionada tiene MÁS filas que las esperadas después del filtro. Verificar duplicaciones."
"R/fusion_enoe.R",180,1,"La tabla fusionada tiene MENOS filas que las esperadas después del filtro. Posible pérdida en joins."
"R/imputa_ingocup.R",127,1,"Total ocupados con datos válidos: "
"R/imputa_ingocup.R",142,1,"No hay suficientes donantes o predictores con variación."
"R/imputa_ingocup.R",208,1,"No fue posible ejecutar la imputación de respaldo: "
"R/imputa_ingocup.R",258,1,"Porcentaje entre los que tenían NA: "
"R/imputa_ingocup.R",259,1,"Porcentaje sobre válidos (edad + anios_es): "
"R/imputa_ingocup.R",266,1,"Ingreso laboral faltante seleccionado para imputación"
"R/imputa_ingocup.R",276,1,"Distribución del ingreso mensual"
"R/imputa_ingocup.R",289,1,"Indicador de imputación de ingreso (1 = imputado)"
"R/info_trimestre.R",34,1,"Año debe estar entre 2005-2026"
"R/info_trimestre.R",60,1,"No se encontró información para "
"R/ipc_enoe.R",4,1,"No se encontró el archivo ipc.rds en inst/extdata/."
"R/ipc_enoe.R",41,1,"`anio` debe ser un número escalar, finito e íntegro."
"R/ipc_enoe.R",46,1,"`trimestre` debe ser un número escalar e íntegro entre 1 y 4."
"R/ipc_enoe.R",64,1,"ipc.rds debe contener anio, trim e ipc numéricos, íntegros donde "
"R/ipc_enoe.R",76,1,"No se encontró un valor de IPC para "
"R/procesar_clases_damian.R",399,1,"Codigo ISCO-88 derivado de SINCO 2011 (correspondencia de Gerardo Damián Hernández)"
"R/procesar_clases_damian.R",400,1,"Codigo SINCO 2011 especifico para el modulo de Gerardo Damián Hernández"
"R/procesar_clases_damian.R",401,1,"Calidad del puente CMO-SINCO usado por el modulo de Gerardo Damián Hernández"
"R/procesar_clases_damian.R",402,1,"Numero de destinos SINCO posibles desde CMO en el modulo de Gerardo Damián Hernández"
"R/procesar_contribucion_hogar.R",90,1,"Ingreso per cápita del hogar deflactado"
"R/procesar_contribucion_hogar.R",91,1,"Horas no remuneradas per cápita del hogar"
"R/procesar_contribucion_hogar.R",92,1,"Ingreso per cápita del hogar sin la persona ego"
"R/procesar_contribucion_hogar.R",94,1,"Quintil ponderado de ingreso per cápita del hogar"
"R/procesar_contribucion_hogar.R",95,1,"Quintil ponderado de trabajo no remunerado per cápita"
"R/procesar_contribucion_hogar.R",96,1,"Quintil ponderado de ingreso per cápita del hogar sin ego"
"R/procesar_contribucion_hogar.R",100,1,"Quintil 1 (más bajo)"
"R/procesar_contribucion_hogar.R",104,1,"Quintil 5 (más alto)"
"R/procesar_contribucion_hogar.R",107,1,"Quintil 1 (más bajo)"
"R/procesar_contribucion_hogar.R",111,1,"Quintil 5 (más alto)"
"R/procesar_contribucion_hogar.R",114,1,"Quintil 1 (más bajo)"
"R/procesar_contribucion_hogar.R",118,1,"Quintil 5 (más alto)"
"R/procesar_contribucion_hogar.R",121,1,"Quintil 1 (más bajo)"
"R/procesar_contribucion_hogar.R",125,1,"Quintil 5 (más alto)"
"R/procesar_cuidado_extra.R",209,1,"Número de mujeres adultas en el hogar"
"R/procesar_cuidado_extra.R",210,1,"Número de hombres adultos en el hogar"
"R/procesar_cuidado_extra.R",211,1,"Número de mujeres adultas ocupadas en el hogar"
"R/procesar_cuidado_extra.R",212,1,"Número de hombres adultos ocupados en el hogar"
"R/procesar_cuidado_extra.R",216,1,"Hogar con al menos una persona adulta ocupada que trabaja más de 40 horas semanales"
"R/procesar_cuidado_extra.R",217,1,"Hogar con al menos una persona adulta ocupada que trabaja más de 48 horas semanales"
"R/procesar_cuidado_extra.R",218,1,"Hogar con al menos una mujer adulta ocupada que trabaja más de 40 horas semanales"
"R/procesar_cuidado_extra.R",219,1,"Hogar con al menos una mujer adulta ocupada que trabaja más de 48 horas semanales"
"R/procesar_cuidado_extra.R",220,1,"Hogar con al menos un hombre adulto ocupado que trabaja más de 40 horas semanales"
"R/procesar_cuidado_extra.R",221,1,"Hogar con al menos un hombre adulto ocupado que trabaja más de 48 horas semanales"
"R/procesar_cuidado_extra.R",222,1,"Número de adolescentes de 13 a 17 años en el hogar"
"R/procesar_cuidado_extra.R",223,1,"Número de adolescentes de 13 a 17 años que realizan trabajo no remunerado"
"R/procesar_cuidado_extra.R",226,1,"Número de integrantes de 0 a 5 años en el hogar"
"R/procesar_cuidado_extra.R",227,1,"Número de integrantes de 6 a 12 años en el hogar"
"R/procesar_cuidado_extra.R",228,1,"Número de integrantes de 13 a 17 años en el hogar"
"R/procesar_cuidado_extra.R",229,1,"Hogar con al menos una persona de 0 a 5 años"
"R/procesar_cuidado_extra.R",230,1,"Hogar con al menos una persona de 6 a 12 años"
"R/procesar_cuidado_extra.R",231,1,"Hogar con al menos una persona de 13 a 17 años"
"R/procesar_cuidado_extra.R",232,1,"Número de integrantes de 6 a 17 años en el hogar"
"R/procesar_cuidado_extra.R",233,1,"Hogar con población de 6 a 17 años"
"R/procesar_cuidado_extra.R",234,1,"Todas las personas adultas del hogar están ocupadas"
"R/procesar_cuidado_extra.R",238,1,"Combinación de grupos de edad de 0 a 17 años presentes en el hogar"
"R/procesar_cuidado_extra.R",239,1,"Hogar con población de 6 a 17 años, todas las personas adultas ocupadas y al menos una con jornada mayor de 40 horas semanales (Escoto, 2026)"
"R/procesar_cuidado_extra.R",240,1,"Hogar con población de 6 a 17 años, todas las personas adultas ocupadas y al menos una con jornada mayor de 48 horas semanales (Escoto, 2026)"
"R/procesar_cuidado_remunerado.R",162,1,"Cuidado de mercado en posición ocupacional remunerada"
"R/procesar_cuidado_remunerado.R",163,1,"Cuidado de mercado en posición ocupacional sin pago"
"R/procesar_cuidado_remunerado.R",164,1,"Estado de observación o imputación del ingreso en el cuidado de mercado"
"R/procesar_cuidado_remunerado.R",167,1,"Sí"
"R/procesar_cuidado_remunerado.R",168,1,"Sí"
"R/procesar_cuidado_remunerado.R",169,1,"Sí"
"R/procesar_cuidado_remunerado.R",170,1,"Sí"
"R/procesar_estudio_trabajo.R",77,1,"Situación combinada de asistencia escolar y ocupación"
"R/procesar_estudio_trabajo.R",81,1,"Persona que no estudia ni trabaja y está disponible para trabajar"
"R/procesar_estudio_trabajo.R",82,1,"Tipo principal de situación entre quienes no estudian ni trabajan"
"R/procesar_estudio_trabajo.R",91,1,"Sí"
"R/procesar_estudio_trabajo.R",92,1,"Sí"
"R/procesar_estudio_trabajo.R",93,1,"Sí"
"R/procesar_estudio_trabajo.R",94,1,"Sí"
"R/procesar_tiempo.R",229,1,"Tiempo dedicado a compras, trámites y seguridad del hogar (horas)"
"R/procesar_tiempo.R",231,1,"Batería de uso del tiempo con alguna respuesta observada"
"R/procesar_tiempo.R",232,1,"Total de tiempo afectado por duración o realización desconocida"
"R/procesar_tiempo.R",233,1,"Total sin traslados ni compras afectado por duración o realización desconocida"
"R/procesar_tiempo.R",234,1,"Suma parcial de actividades con duración observada (minutos)"
"R/procesar_tiempo.R",240,1,"Suma histórica que convierte faltantes y códigos especiales a cero (minutos)"
"R/procesar_tiempo.R",241,1,"Suma histórica sin compras ni traslados (minutos)"
"R/procesar_vars_hogar.R",51,1,"La variable 'par_c' no está presente en el objeto de entrada."
"R/procesar_vars_hogar.R",181,1,"Clasificación del parentesco respecto a la jefatura del hogar"
"R/procesar_vars_hogar.R",182,1,"Número de jefas o jefes en el hogar"
"R/procesar_vars_hogar.R",183,1,"Número de cónyuges o parejas en el hogar"
"R/procesar_vars_hogar.R",184,1,"Número de hijas o hijos en el hogar"
"R/procesar_vars_hogar.R",185,1,"Número de madres o padres de la jefatura en el hogar"
"R/procesar_vars_hogar.R",186,1,"Número de otros parientes en el hogar"
"R/procesar_vars_hogar.R",187,1,"Número de personas no parientes u otras en el hogar"
"R/procesar_vars_hogar.R",188,1,"Tipología detallada del hogar"
"R/procesar_vars_hogar.R",189,1,"Tipología resumida del hogar"
"R/procesar_vars_hogar.R",190,1,"Tipología resumida del hogar"
"R/procesar_vars_hogar.R",191,1,"Tipología sintética del hogar"
"R/procesar_vars_hogar.R",192,1,"Tipología sintética del hogar"
"R/procesar_vars_hogar.R",193,1,"Tipología agregada del hogar"
"R/procesar_vars_hogar.R",194,1,"Tipología agregada del hogar"
"R/procesar_vars_hogar.R",195,1,"Tamaño del hogar (sin servicio doméstico)"
"R/procesar_vars_hogar.R",196,1,"Número de integrantes menores de 15 años"
"R/procesar_vars_hogar.R",197,1,"Número de integrantes de 65 años o más"
"R/procesar_vars_hogar.R",198,1,"Número de integrantes de 15 a 64 años"
"R/procesar_vars_hogar.R",199,1,"Número de integrantes dependientes: menores de 15 y personas de 65 años o más"
"R/procesar_vars_hogar.R",203,1,"Número de integrantes de 0 a 5 años"
"R/procesar_vars_hogar.R",204,1,"Número de integrantes de 6 a 12 años"
"R/procesar_vars_hogar.R",205,1,"Número de integrantes de 13 a 17 años"
"R/procesar_vars_hogar.R",206,1,"Número de integrantes de 18 años o más"
"R/procesar_vars_hogar.R",207,1,"Número de integrantes de 15 a 24 años"
"R/procesar_vars_hogar.R",208,1,"Número de integrantes de 15 a 29 años"
"R/procesar_vars_hogar.R",209,1,"Número de integrantes de 65 años o más"
"R/procesar_vars_hogar.R",210,1,"Hogar con al menos una persona de 0 a 5 años"
"R/procesar_vars_hogar.R",211,1,"Hogar con al menos una persona de 6 a 12 años"
"R/procesar_vars_hogar.R",212,1,"Hogar con al menos una persona de 13 a 17 años"
"R/procesar_vars_hogar.R",213,1,"Hogar con al menos una persona de 18 años o más"
"R/procesar_vars_hogar.R",214,1,"Hogar con al menos una persona de 15 a 24 años"
"R/procesar_vars_hogar.R",215,1,"Hogar con al menos una persona de 15 a 29 años"
"R/procesar_vars_hogar.R",216,1,"Hogar con al menos una persona de 65 años o más"
"R/procesar_vars_hogar.R",218,1,"Proporción de personas ocupadas respecto al tamaño del hogar"
"R/procesar_vars_hogar.R",223,1,"Cónyuge o pareja"
"R/procesar_vars_hogar.R",228,1,"Servicio doméstico y familiares"
"R/procesar_vars_hogar.R",251,1,"Sí"
"R/procesar_vars_hogar.R",252,1,"Sí"
"R/procesar_vars_hogar.R",253,1,"Sí"
"R/procesar_vars_hogar.R",254,1,"Sí"
"R/procesar_vars_hogar.R",255,1,"Sí"
"R/procesar_vars_hogar.R",256,1,"Sí"
"R/procesar_vars_hogar.R",257,1,"Sí"
"R/procesar_vars_laborales.R",157,1,"Nivel agregado de competencia requerido por la ocupación"
"R/procesar_vars_laborales.R",161,1,"Condición laboral y experiencia previa"
"R/procesar_vars_laborales.R",164,1,"Clasificación de temporalidad laboral"
"R/procesar_vars_laborales.R",169,1,"Competencia básica"
"R/procesar_vars_laborales.R",180,1,"Sobreeducación"
"R/procesar_vars_laborales.R",182,1,"Subeducación"
"R/procesar_vars_laborales.R",185,1,"Ya había trabajado"
"R/procesar_vars_laborales.R",186,1,"Nunca había trabajado"
"R/procesar_vars_laborales.R",212,1,"Fuera de la población ocupada"
"R/procesar_vars_sociodemo.R",77,1,"Edad en años"
"R/procesar_vars_sociodemo.R",79,1,"Adulto mayor (65 años o más)"
"R/procesar_vars_sociodemo.R",80,1,"Persona de 0 a 5 años"
"R/procesar_vars_sociodemo.R",81,1,"Persona de 6 a 12 años"
"R/procesar_vars_sociodemo.R",82,1,"Persona de 13 a 17 años"
"R/procesar_vars_sociodemo.R",83,1,"Persona de 18 años o más"
"R/procesar_vars_sociodemo.R",84,1,"Persona de 15 a 24 años"
"R/procesar_vars_sociodemo.R",85,1,"Persona de 15 a 29 años"
"R/procesar_vars_sociodemo.R",86,1,"Año del trimestre"
"R/procesar_vars_sociodemo.R",87,1,"Número de trimestre (t1-t4)"
"R/procesar_vars_sociodemo.R",88,1,"Tipo de cuestionario COE (básico o ampliado)"
"R/procesar_vars_sociodemo.R",90,1,"Estado conyugal: vive en unión"
"R/procesar_vars_sociodemo.R",91,1,"Años de escolaridad"
"R/procesar_vars_sociodemo.R",94,1,"Tamaño de localidad"
"R/procesar_vars_sociodemo.R",95,1,"Área urbana o rural"
"R/procesar_vars_sociodemo.R",96,1,"Indicador dicotómico de ruralidad"
"R/procesar_vars_sociodemo.R",97,1,"Zona económica regional"
"R/procesar_vars_sociodemo.R",105,1,"No vive en unión"
"R/procesar_vars_sociodemo.R",106,1,"Vive en unión"
"R/procesar_vars_sociodemo.R",110,1,"Cónyuge o pareja"
"R/procesar_vars_sociodemo.R",115,1,"100 000 o más habitantes"
"R/sinco2019_to_sinco2011.R",63,1,"No se encontró el puente SINCO 2019-SINCO 2011."
"R/sinco2019_to_sinco2011.R",110,1,"Código ausente de la tabla oficial"
"R/sinco2019_to_sinco2011.R",114,1,"Equivalencia oficial múltiple: sin resolver"
"R/sinco2019_to_sinco2011.R",115,1,"Equivalencia oficial múltiple: primer destino"
"R/sinco2019_to_sinco2011.R",121,1,"Código ocupacional original SINCO 2019"
"R/sinco2019_to_sinco2011.R",122,1,"Código equivalente en SINCO 2011"
"R/sinco2019_to_sinco2011.R",123,1,"Número de destinos SINCO 2011 en la tabla oficial"
"R/utils.R",19,1,"No se encontró el archivo corregido para "
"R/utils.R",19,2,". Buscando archivo estándar..."
"R/utils.R",27,1,"No se encontró archivo para la tabla "
"R/utils.R",68,1,"Descargando versión alternativa de ENOE 2022T1 desde INEGI..."
"R/utils.R",73,1,"No se pudo descargar o descomprimir la versión alternativa de ENOE 2022T1: "
"R/utils.R",88,1,"No se encontró el archivo "
"R/utils.R",110,1,"Año y trimestre deben ser numéricos"
"R/utils.R",115,1,"Año y trimestre deben ser valores escalares íntegros y el trimestre debe estar entre 1 y 4"
"R/utils.R",118,1,"No existe 2020-T2 por la suspensión del levantamiento regular de la ENOE"
"R/utils.R",121,1,"Sólo están publicados y habilitados 2026-T1 y 2026-T2"
"R/utils.R",167,1,"El año debe ser numérico"
"R/utils.R",276,1,"Fallo en la descarga (último intento)"
"R/utils.R",306,1,"Error crítico al extraer ZIP: "
